,Date,Index,Value
177,23/03/2018,EUR,7.59%
178,23/03/2018,YENN,7.83%
179,23/03/2018,BTC,67.60%
180,26/03/2018,GBP,7.27%
181,26/03/2018,EUR,7.52%
182,26/03/2018,YENN,7.55%
183,26/03/2018,BTC,70.82%
184,27/03/2018,GBP,7.54%
185,27/03/2018,EUR,7.93%
186,27/03/2018,YENN,7.85%
187,27/03/2018,BTC,71.59%
188,28/03/2018,GBP,7.76%
189,28/03/2018,EUR,8.07%
190,28/03/2018,YENN,7.85%
191,28/03/2018,BTC,70.32%
192,29/03/2018,GBP,8.00%
193,29/03/2018,EUR,8.18%
194,29/03/2018,YENN,8.99%
195,29/03/2018,BTC,76.82%
196,30/03/2018,GBP,7.01%
197,30/03/2018,EUR,8.09%
198,30/03/2018,YENN,8.69%
199,30/03/2018,BTC,72.80%
200,02/04/2018,GBP,7.01%
201,02/04/2018,EUR,7.79%
202,02/04/2018,YENN,8.56%
203,02/04/2018,BTC,73.90%
204,03/04/2018,GBP,7.00%
205,03/04/2018,EUR,7.71%
206,03/04/2018,YENN,8.49%
207,03/04/2018,BTC,74.86%
208,04/04/2018,GBP,6.91%
209,04/04/2018,EUR,7.69%
210,04/04/2018,YENN,8.44%
211,04/04/2018,BTC,76.10%
212,05/04/2018,GBP,6.84%
213,05/04/2018,EUR,7.30%
214,05/04/2018,YENN,8.12%
215,05/04/2018,BTC,73.35%
216,06/04/2018,GBP,7.18%
217,06/04/2018,EUR,7.35%
218,06/04/2018,YENN,7.90%
219,06/04/2018,BTC,71.91%
220,09/04/2018,GBP,6.86%
221,09/04/2018,EUR,6.76%
222,09/04/2018,YENN,7.89%
223,09/04/2018,BTC,72.96%
224,10/04/2018,GBP,6.85%
225,10/04/2018,EUR,6.92%
226,10/04/2018,YENN,7.76%
227,10/04/2018,BTC,73.46%
228,11/04/2018,GBP,6.82%
229,11/04/2018,EUR,6.96%
230,11/04/2018,YENN,7.55%
231,11/04/2018,BTC,74.26%
232,12/04/2018,GBP,6.69%
233,12/04/2018,EUR,6.80%
234,12/04/2018,YENN,7.58%
235,12/04/2018,BTC,80.54%
236,13/04/2018,GBP,6.74%
237,13/04/2018,EUR,6.88%
238,13/04/2018,YENN,7.57%
239,13/04/2018,BTC,80.52%
240,16/04/2018,GBP,6.64%
241,16/04/2018,EUR,6.62%
242,16/04/2018,YENN,7.59%
243,16/04/2018,BTC,80.88%
244,17/04/2018,GBP,6.91%
245,17/04/2018,EUR,6.71%
246,17/04/2018,YENN,7.67%
247,17/04/2018,BTC,80.00%
248,18/04/2018,GBP,6.88%
249,18/04/2018,EUR,6.55%
250,18/04/2018,YENN,7.67%
251,18/04/2018,BTC,80.02%
252,19/04/2018,GBP,7.30%
253,19/04/2018,EUR,6.03%
254,19/04/2018,YENN,7.59%
255,19/04/2018,BTC,80.30%
256,20/04/2018,GBP,7.10%
257,20/04/2018,EUR,5.50%
258,20/04/2018,YENN,7.33%
259,20/04/2018,BTC,83.29%
260,23/04/2018,GBP,7.36%
261,23/04/2018,EUR,5.83%
