,Date,Index,Value
774,18/10/2018,YENN,6.17%
775,18/10/2018,BTC,33.58%
776,19/10/2018,GBP,9.88%
777,19/10/2018,EUR,6.55%
778,19/10/2018,YENN,6.33%
779,19/10/2018,BTC,32.93%
780,22/10/2018,GBP,9.26%
781,22/10/2018,EUR,5.90%
782,22/10/2018,YENN,6.37%
783,22/10/2018,BTC,30.74%
784,23/10/2018,GBP,8.23%
785,23/10/2018,EUR,5.96%
786,23/10/2018,YENN,6.43%
787,23/10/2018,BTC,29.94%
788,24/10/2018,GBP,8.17%
789,24/10/2018,EUR,5.96%
790,24/10/2018,YENN,6.45%
791,24/10/2018,BTC,28.87%
792,25/10/2018,GBP,8.25%
793,25/10/2018,EUR,6.19%
794,25/10/2018,YENN,6.54%
795,25/10/2018,BTC,28.77%
796,26/10/2018,GBP,8.35%
797,26/10/2018,EUR,6.19%
798,26/10/2018,YENN,6.60%
799,26/10/2018,BTC,26.95%
800,29/10/2018,GBP,8.09%
801,29/10/2018,EUR,5.56%
802,29/10/2018,YENN,6.35%
803,29/10/2018,BTC,27.88%
804,30/10/2018,GBP,8.07%
805,30/10/2018,EUR,5.54%
806,30/10/2018,YENN,6.34%
807,30/10/2018,BTC,27.80%
808,31/10/2018,GBP,8.35%
809,31/10/2018,EUR,5.55%
810,31/10/2018,YENN,6.77%
811,31/10/2018,BTC,27.78%
812,01/11/2018,GBP,8.50%
813,01/11/2018,EUR,5.56%
814,01/11/2018,YENN,6.71%
815,01/11/2018,BTC,27.94%
816,02/11/2018,GBP,10.68%
817,02/11/2018,EUR,5.92%
818,02/11/2018,YENN,6.00%
819,02/11/2018,BTC,27.60%
820,05/11/2018,GBP,10.44%
821,05/11/2018,EUR,5.75%
822,05/11/2018,YENN,5.97%
823,05/11/2018,BTC,27.53%
824,06/11/2018,GBP,10.15%
825,06/11/2018,EUR,5.78%
826,06/11/2018,YENN,5.97%
827,06/11/2018,BTC,27.59%
828,07/11/2018,GBP,10.23%
829,07/11/2018,EUR,5.80%
830,07/11/2018,YENN,5.66%
831,07/11/2018,BTC,27.91%
832,08/11/2018,GBP,10.09%
833,08/11/2018,EUR,5.78%
834,08/11/2018,YENN,5.67%
835,08/11/2018,BTC,28.04%
836,09/11/2018,GBP,10.11%
837,09/11/2018,EUR,5.99%
838,09/11/2018,YENN,4.91%
839,09/11/2018,BTC,21.65%
840,12/11/2018,GBP,10.56%
841,12/11/2018,EUR,5.72%
842,12/11/2018,YENN,4.94%
843,12/11/2018,BTC,21.67%
844,13/11/2018,GBP,10.25%
845,13/11/2018,EUR,6.17%
846,13/11/2018,YENN,4.99%
847,13/11/2018,BTC,12.15%
848,14/11/2018,GBP,11.09%
849,14/11/2018,EUR,6.67%
850,14/11/2018,YENN,4.80%
851,14/11/2018,BTC,37.02%
852,15/11/2018,GBP,11.04%
853,15/11/2018,EUR,6.68%
854,15/11/2018,YENN,4.70%
855,15/11/2018,BTC,37.15%
856,16/11/2018,GBP,12.29%
857,16/11/2018,EUR,6.42%
858,16/11/2018,YENN,4.64%
859,16/11/2018,BTC,37.19%
860,19/11/2018,GBP,12.35%
861,19/11/2018,EUR,6.98%
862,19/11/2018,YENN,5.16%
863,19/11/2018,BTC,57.73%
864,20/11/2018,GBP,12.31%
865,20/11/2018,EUR,6.93%
866,20/11/2018,YENN,5.16%
867,20/11/2018,BTC,63.12%
868,21/11/2018,GBP,12.18%
869,21/11/2018,EUR,7.26%
870,21/11/2018,YENN,5.16%
871,21/11/2018,BTC,65.37%
872,22/11/2018,GBP,12.16%
873,22/11/2018,EUR,7.28%
874,22/11/2018,YENN,5.14%
875,22/11/2018,BTC,66.14%
876,23/11/2018,GBP,12.26%
877,23/11/2018,EUR,6.95%
878,23/11/2018,YENN,4.93%
879,23/11/2018,BTC,66.10%
880,26/11/2018,GBP,12.26%
881,26/11/2018,EUR,7.21%
882,26/11/2018,YENN,4.85%
883,26/11/2018,BTC,77.81%
884,27/11/2018,GBP,12.26%
885,27/11/2018,EUR,7.17%
886,27/11/2018,YENN,4.88%
887,27/11/2018,BTC,78.83%
888,28/11/2018,GBP,12.38%
889,28/11/2018,EUR,7.21%
890,28/11/2018,YENN,4.80%
891,28/11/2018,BTC,90.97%
892,29/11/2018,GBP,12.29%
893,29/11/2018,EUR,7.49%
894,29/11/2018,YENN,4.37%
895,29/11/2018,BTC,91.18%
896,30/11/2018,GBP,12.24%
897,30/11/2018,EUR,7.46%
898,30/11/2018,YENN,4.34%
899,30/11/2018,BTC,91.83%
900,03/12/2018,GBP,10.33%
901,03/12/2018,EUR,7.13%
902,03/12/2018,YENN,4.41%
903,03/12/2018,BTC,91.46%
904,04/12/2018,GBP,10.33%
905,04/12/2018,EUR,7.15%
906,04/12/2018,YENN,4.29%
907,04/12/2018,BTC,91.98%
908,05/12/2018,GBP,10.17%
909,05/12/2018,EUR,7.13%
910,05/12/2018,YENN,5.10%
911,05/12/2018,BTC,91.87%
912,06/12/2018,GBP,10.01%
913,06/12/2018,EUR,7.08%
914,06/12/2018,YENN,5.22%
915,06/12/2018,BTC,91.78%
916,07/12/2018,GBP,10.14%
917,07/12/2018,EUR,7.14%
918,07/12/2018,YENN,5.28%
919,07/12/2018,BTC,91.55%
920,10/12/2018,GBP,10.13%
921,10/12/2018,EUR,6.90%
922,10/12/2018,YENN,5.10%
923,10/12/2018,BTC,93.25%
924,11/12/2018,GBP,10.47%
925,11/12/2018,EUR,6.90%
926,11/12/2018,YENN,5.59%
927,11/12/2018,BTC,92.79%
928,12/12/2018,GBP,10.43%
929,12/12/2018,EUR,6.33%
930,12/12/2018,YENN,5.62%
931,12/12/2018,BTC,93.79%
932,13/12/2018,GBP,10.23%
933,13/12/2018,EUR,6.07%
934,13/12/2018,YENN,5.61%
935,13/12/2018,BTC,90.28%
936,14/12/2018,GBP,10.30%
937,14/12/2018,EUR,6.08%
938,14/12/2018,YENN,5.65%
939,14/12/2018,BTC,90.22%
940,17/12/2018,GBP,8.72%
941,17/12/2018,EUR,6.34%
942,17/12/2018,YENN,5.67%
943,17/12/2018,BTC,98.72%
944,18/12/2018,GBP,8.53%
945,18/12/2018,EUR,5.84%
946,18/12/2018,YENN,5.34%
947,18/12/2018,BTC,91.86%
948,19/12/2018,GBP,8.58%
949,19/12/2018,EUR,5.75%
950,19/12/2018,YENN,5.35%
951,19/12/2018,BTC,87.84%
952,20/12/2018,GBP,8.42%
953,20/12/2018,EUR,5.19%
954,20/12/2018,YENN,5.30%
955,20/12/2018,BTC,94.42%
956,21/12/2018,GBP,8.53%
957,21/12/2018,EUR,5.55%
958,21/12/2018,YENN,6.40%
959,21/12/2018,BTC,94.86%
960,24/12/2018,GBP,8.01%
961,24/12/2018,EUR,6.13%
962,24/12/2018,YENN,6.40%
963,24/12/2018,BTC,96.50%
964,25/12/2018,GBP,8.10%
965,25/12/2018,EUR,5.85%
966,25/12/2018,YENN,6.71%
967,25/12/2018,BTC,86.17%
968,26/12/2018,GBP,8.11%
969,26/12/2018,EUR,5.85%
970,26/12/2018,YENN,6.36%
971,26/12/2018,BTC,86.17%
972,27/12/2018,GBP,7.98%
973,27/12/2018,EUR,6.00%
974,27/12/2018,YENN,6.92%
975,27/12/2018,BTC,78.59%
976,28/12/2018,GBP,7.61%
977,28/12/2018,EUR,6.00%
978,28/12/2018,YENN,6.96%
979,28/12/2018,BTC,83.09%
980,31/12/2018,GBP,7.70%
981,31/12/2018,EUR,5.96%
982,31/12/2018,YENN,7.07%
983,31/12/2018,BTC,81.85%
984,01/01/2019,GBP,7.77%
985,01/01/2019,EUR,5.90%
986,01/01/2019,YENN,7.08%
987,01/01/2019,BTC,81.83%
988,02/01/2019,GBP,7.74%
989,02/01/2019,EUR,6.01%
990,02/01/2019,YENN,7.12%
991,02/01/2019,BTC,82.14%
992,03/01/2019,GBP,10.05%
993,03/01/2019,EUR,7.52%
994,03/01/2019,YENN,9.47%
995,03/01/2019,BTC,80.56%
996,04/01/2019,GBP,10.55%
997,04/01/2019,EUR,7.85%
998,04/01/2019,YENN,9.49%
999,04/01/2019,BTC,77.01%
1000,07/01/2019,GBP,10.88%
1001,07/01/2019,EUR,7.83%
1002,07/01/2019,YENN,9.96%
1003,07/01/2019,BTC,77.08%
1004,08/01/2019,GBP,10.85%
1005,08/01/2019,EUR,8.07%
1006,08/01/2019,YENN,10.01%
1007,08/01/2019,BTC,76.88%
1008,09/01/2019,GBP,9.92%
1009,09/01/2019,EUR,7.97%
1010,09/01/2019,YENN,9.69%
1011,09/01/2019,BTC,76.18%
1012,10/01/2019,GBP,9.76%
1013,10/01/2019,EUR,8.35%
1014,10/01/2019,YENN,9.66%
1015,10/01/2019,BTC,83.57%
1016,11/01/2019,GBP,9.22%
1017,11/01/2019,EUR,8.41%
1018,11/01/2019,YENN,9.72%
1019,11/01/2019,BTC,81.28%
1020,14/01/2019,GBP,9.53%
1021,14/01/2019,EUR,8.57%
1022,14/01/2019,YENN,9.67%
1023,14/01/2019,BTC,80.69%
1024,15/01/2019,GBP,9.26%
1025,15/01/2019,EUR,8.34%
1026,15/01/2019,YENN,9.66%
1027,15/01/2019,BTC,75.23%
1028,16/01/2019,GBP,9.26%
1029,16/01/2019,EUR,8.47%
1030,16/01/2019,YENN,9.81%
1031,16/01/2019,BTC,73.83%
1032,17/01/2019,GBP,9.23%
1033,17/01/2019,EUR,8.46%
1034,17/01/2019,YENN,9.98%
1035,17/01/2019,BTC,73.71%
1036,18/01/2019,GBP,9.44%
1037,18/01/2019,EUR,8.45%
1038,18/01/2019,YENN,10.02%
1039,18/01/2019,BTC,64.20%
1040,21/01/2019,GBP,10.20%
1041,21/01/2019,EUR,8.21%
1042,21/01/2019,YENN,9.58%
1043,21/01/2019,BTC,61.56%
1044,22/01/2019,GBP,10.19%
1045,22/01/2019,EUR,7.81%
1046,22/01/2019,YENN,9.58%
1047,22/01/2019,BTC,59.06%
1048,23/01/2019,GBP,10.20%
1049,23/01/2019,EUR,7.75%
1050,23/01/2019,YENN,9.36%
1051,23/01/2019,BTC,54.77%
1052,24/01/2019,GBP,10.57%
1053,24/01/2019,EUR,7.78%
1054,24/01/2019,YENN,9.37%
1055,24/01/2019,BTC,54.60%
1056,25/01/2019,GBP,10.45%
1057,25/01/2019,EUR,7.94%
1058,25/01/2019,YENN,8.97%
1059,25/01/2019,BTC,51.40%
1060,28/01/2019,GBP,10.56%
1061,28/01/2019,EUR,8.25%
1062,28/01/2019,YENN,8.93%
1063,28/01/2019,BTC,45.67%
1064,29/01/2019,GBP,10.72%
1065,29/01/2019,EUR,8.26%
1066,29/01/2019,YENN,8.81%
1067,29/01/2019,BTC,43.12%
1068,30/01/2019,GBP,11.03%
1069,30/01/2019,EUR,8.09%
1070,30/01/2019,YENN,8.56%
1071,30/01/2019,BTC,42.06%
1072,31/01/2019,GBP,11.04%
1073,31/01/2019,EUR,8.20%
1074,31/01/2019,YENN,8.67%
1075,31/01/2019,BTC,40.60%
1076,01/02/2019,GBP,8.45%
1077,01/02/2019,EUR,6.92%
1078,01/02/2019,YENN,4.64%
1079,01/02/2019,BTC,40.15%
1080,04/02/2019,GBP,8.27%
1081,04/02/2019,EUR,6.58%
1082,04/02/2019,YENN,4.84%
1083,04/02/2019,BTC,40.00%
1084,05/02/2019,GBP,8.08%
1085,05/02/2019,EUR,6.59%
1086,05/02/2019,YENN,4.60%
1087,05/02/2019,BTC,36.20%
1088,06/02/2019,GBP,8.33%
1089,06/02/2019,EUR,6.27%
1090,06/02/2019,YENN,4.60%
1091,06/02/2019,BTC,36.16%
1092,07/02/2019,GBP,8.23%
1093,07/02/2019,EUR,6.36%
1094,07/02/2019,YENN,4.59%
1095,07/02/2019,BTC,36.04%
1096,08/02/2019,GBP,8.09%
1097,08/02/2019,EUR,5.49%
1098,08/02/2019,YENN,4.17%
1099,08/02/2019,BTC,33.47%
1100,11/02/2019,GBP,7.97%
1101,11/02/2019,EUR,5.38%
1102,11/02/2019,YENN,4.17%
1103,11/02/2019,BTC,33.50%
1104,12/02/2019,GBP,7.86%
1105,12/02/2019,EUR,5.35%
1106,12/02/2019,YENN,4.47%
1107,12/02/2019,BTC,33.45%
1108,13/02/2019,GBP,7.86%
1109,13/02/2019,EUR,5.68%
1110,13/02/2019,YENN,4.35%
1111,13/02/2019,BTC,32.73%
1112,14/02/2019,GBP,7.92%
1113,14/02/2019,EUR,5.81%
1114,14/02/2019,YENN,4.36%
1115,14/02/2019,BTC,32.66%
1116,15/02/2019,GBP,8.06%
1117,15/02/2019,EUR,5.91%
1118,15/02/2019,YENN,4.51%
1119,15/02/2019,BTC,32.57%
1120,18/02/2019,GBP,8.16%
1121,18/02/2019,EUR,5.92%
1122,18/02/2019,YENN,4.51%
1123,18/02/2019,BTC,42.46%
1124,19/02/2019,GBP,7.35%
1125,19/02/2019,EUR,5.90%
1126,19/02/2019,YENN,4.27%
1127,19/02/2019,BTC,41.43%
1128,20/02/2019,GBP,8.13%
1129,20/02/2019,EUR,5.98%
1130,20/02/2019,YENN,4.27%
1131,20/02/2019,BTC,41.52%
1132,21/02/2019,GBP,7.98%
1133,21/02/2019,EUR,5.98%
1134,21/02/2019,YENN,4.12%
1135,21/02/2019,BTC,41.76%
1136,22/02/2019,GBP,7.24%
1137,22/02/2019,EUR,5.93%
1138,22/02/2019,YENN,4.13%
1139,22/02/2019,BTC,41.86%
1140,25/02/2019,GBP,7.19%
1141,25/02/2019,EUR,5.45%
1142,25/02/2019,YENN,4.13%
1143,25/02/2019,BTC,43.68%
1144,26/02/2019,GBP,6.99%
1145,26/02/2019,EUR,4.54%
1146,26/02/2019,YENN,4.09%
1147,26/02/2019,BTC,41.41%
1148,27/02/2019,GBP,7.71%
1149,27/02/2019,EUR,4.59%
1150,27/02/2019,YENN,4.41%
1151,27/02/2019,BTC,41.26%
1152,28/02/2019,GBP,7.47%
1153,28/02/2019,EUR,4.59%
1154,28/02/2019,YENN,4.47%
1155,28/02/2019,BTC,41.23%
1156,01/03/2019,GBP,7.62%
1157,01/03/2019,EUR,4.25%
1158,01/03/2019,YENN,4.33%
1159,01/03/2019,BTC,40.98%
1160,04/03/2019,GBP,7.66%
1161,04/03/2019,EUR,4.13%
1162,04/03/2019,YENN,4.47%
1163,04/03/2019,BTC,42.33%
1164,05/03/2019,GBP,7.80%
1165,05/03/2019,EUR,4.25%
1166,05/03/2019,YENN,4.31%
1167,05/03/2019,BTC,43.46%
1168,06/03/2019,GBP,7.71%
1169,06/03/2019,EUR,4.30%
1170,06/03/2019,YENN,4.09%
1171,06/03/2019,BTC,43.46%
1172,07/03/2019,GBP,7.39%
1173,07/03/2019,EUR,4.27%
1174,07/03/2019,YENN,4.20%
1175,07/03/2019,BTC,42.82%
1176,08/03/2019,GBP,7.81%
1177,08/03/2019,EUR,5.36%
1178,08/03/2019,YENN,4.21%
1179,08/03/2019,BTC,42.77%
1180,11/03/2019,GBP,8.34%
1181,11/03/2019,EUR,5.47%
1182,11/03/2019,YENN,4.56%
1183,11/03/2019,BTC,34.61%
1184,12/03/2019,GBP,10.76%
1185,12/03/2019,EUR,5.55%
1186,12/03/2019,YENN,4.60%
1187,12/03/2019,BTC,34.49%
1188,13/03/2019,GBP,11.74%
1189,13/03/2019,EUR,5.46%
1190,13/03/2019,YENN,4.28%
1191,13/03/2019,BTC,34.52%
1192,14/03/2019,GBP,12.96%
1193,14/03/2019,EUR,5.35%
1194,14/03/2019,YENN,4.30%
1195,14/03/2019,BTC,34.36%
1196,15/03/2019,GBP,12.93%
1197,15/03/2019,EUR,4.92%
1198,15/03/2019,YENN,4.45%
1199,15/03/2019,BTC,34.29%
1200,18/03/2019,GBP,12.75%
1201,18/03/2019,EUR,4.85%
1202,18/03/2019,YENN,4.30%
1203,18/03/2019,BTC,34.58%
1204,19/03/2019,GBP,12.61%
1205,19/03/2019,EUR,4.87%
1206,19/03/2019,YENN,4.36%
1207,19/03/2019,BTC,22.25%
1208,20/03/2019,GBP,12.61%
1209,20/03/2019,EUR,4.88%
1210,20/03/2019,YENN,4.36%
1211,20/03/2019,BTC,22.16%
1212,21/03/2019,GBP,12.31%
1213,21/03/2019,EUR,5.28%
1214,21/03/2019,YENN,5.00%
1215,21/03/2019,BTC,22.40%
1216,22/03/2019,GBP,12.48%
1217,22/03/2019,EUR,5.55%
1218,22/03/2019,YENN,4.98%
1219,22/03/2019,BTC,21.99%
1220,25/03/2019,GBP,12.61%
1221,25/03/2019,EUR,6.07%
1222,25/03/2019,YENN,5.48%
1223,25/03/2019,BTC,22.21%
1224,26/03/2019,GBP,12.60%
1225,26/03/2019,EUR,6.11%
1226,26/03/2019,YENN,5.47%
1227,26/03/2019,BTC,19.27%
1228,27/03/2019,GBP,12.51%
1229,27/03/2019,EUR,6.17%
1230,27/03/2019,YENN,5.63%
1231,27/03/2019,BTC,20.70%
1232,28/03/2019,GBP,12.10%
1233,28/03/2019,EUR,6.11%
1234,28/03/2019,YENN,5.42%
1235,28/03/2019,BTC,20.82%
1236,29/03/2019,GBP,12.19%
1237,29/03/2019,EUR,6.13%
1238,29/03/2019,YENN,5.35%
1239,29/03/2019,BTC,20.87%
1240,01/04/2019,GBP,12.16%
1241,01/04/2019,EUR,6.13%
1242,01/04/2019,YENN,5.24%
1243,01/04/2019,BTC,21.23%
1244,02/04/2019,GBP,12.25%
1245,02/04/2019,EUR,6.13%
1246,02/04/2019,YENN,5.11%
1247,02/04/2019,BTC,56.76%
1248,03/04/2019,GBP,12.28%
1249,03/04/2019,EUR,6.05%
1250,03/04/2019,YENN,5.10%
1251,03/04/2019,BTC,56.21%
1252,04/04/2019,GBP,12.34%
1253,04/04/2019,EUR,6.19%
1254,04/04/2019,YENN,5.10%
1255,04/04/2019,BTC,56.63%
1256,05/04/2019,GBP,12.60%
1257,05/04/2019,EUR,6.20%
1258,05/04/2019,YENN,5.12%
1259,05/04/2019,BTC,56.67%
1260,08/04/2019,GBP,12.42%
1261,08/04/2019,EUR,5.06%
1262,08/04/2019,YENN,5.13%
1263,08/04/2019,BTC,57.80%
1264,09/04/2019,GBP,12.11%
1265,09/04/2019,EUR,5.07%
1266,09/04/2019,YENN,4.87%
1267,09/04/2019,BTC,58.60%
1268,10/04/2019,GBP,9.80%
1269,10/04/2019,EUR,5.02%
1270,10/04/2019,YENN,4.93%
1271,10/04/2019,BTC,58.49%
1272,11/04/2019,GBP,8.63%
1273,11/04/2019,EUR,4.95%
1274,11/04/2019,YENN,4.94%
1275,11/04/2019,BTC,62.50%
1276,12/04/2019,GBP,6.27%
1277,12/04/2019,EUR,4.75%
1278,12/04/2019,YENN,5.33%
1279,12/04/2019,BTC,62.49%
1280,15/04/2019,GBP,6.33%
1281,15/04/2019,EUR,4.93%
1282,15/04/2019,YENN,5.19%
1283,15/04/2019,BTC,62.76%
1284,16/04/2019,GBP,6.25%
1285,16/04/2019,EUR,4.91%
1286,16/04/2019,YENN,5.16%
1287,16/04/2019,BTC,63.15%
1288,17/04/2019,GBP,6.34%
1289,17/04/2019,EUR,4.91%
1290,17/04/2019,YENN,5.12%
1291,17/04/2019,BTC,63.23%
1292,18/04/2019,GBP,6.33%
1293,18/04/2019,EUR,4.89%
1294,18/04/2019,YENN,5.12%
1295,18/04/2019,BTC,63.17%
1296,19/04/2019,GBP,6.22%
1297,19/04/2019,EUR,4.57%
1298,19/04/2019,YENN,4.47%
1299,19/04/2019,BTC,62.57%
1300,22/04/2019,GBP,5.98%
1301,22/04/2019,EUR,4.38%
1302,22/04/2019,YENN,4.48%
1303,22/04/2019,BTC,62.37%
1304,23/04/2019,GBP,5.54%
1305,23/04/2019,EUR,3.74%
1306,23/04/2019,YENN,3.68%
1307,23/04/2019,BTC,61.71%
1308,24/04/2019,GBP,5.58%
1309,24/04/2019,EUR,3.80%
1310,24/04/2019,YENN,3.69%
1311,24/04/2019,BTC,62.85%
1312,25/04/2019,GBP,5.60%
1313,25/04/2019,EUR,4.19%
1314,25/04/2019,YENN,3.50%
1315,25/04/2019,BTC,66.34%
1316,26/04/2019,GBP,5.47%
1317,26/04/2019,EUR,4.17%
1318,26/04/2019,YENN,4.05%
1319,26/04/2019,BTC,66.08%
1320,29/04/2019,GBP,5.02%
1321,29/04/2019,EUR,4.17%
1322,29/04/2019,YENN,4.04%
1323,29/04/2019,BTC,66.37%
1324,30/04/2019,GBP,4.99%
1325,30/04/2019,EUR,4.34%
1326,30/04/2019,YENN,3.91%
1327,30/04/2019,BTC,66.42%
1328,01/05/2019,GBP,5.67%
1329,01/05/2019,EUR,4.42%
1330,01/05/2019,YENN,3.76%
1331,01/05/2019,BTC,38.93%
1332,02/05/2019,GBP,5.44%
1333,02/05/2019,EUR,4.44%
1334,02/05/2019,YENN,3.74%
1335,02/05/2019,BTC,38.93%
1336,03/05/2019,GBP,5.25%
1337,03/05/2019,EUR,4.29%
1338,03/05/2019,YENN,3.73%
1339,03/05/2019,BTC,41.08%
1340,06/05/2019,GBP,5.57%
1341,06/05/2019,EUR,4.28%
1342,06/05/2019,YENN,4.52%
1343,06/05/2019,BTC,40.87%
1344,07/05/2019,GBP,5.64%
1345,07/05/2019,EUR,4.31%
1346,07/05/2019,YENN,4.57%
1347,07/05/2019,BTC,37.96%
1348,08/05/2019,GBP,5.67%
1349,08/05/2019,EUR,4.14%
1350,08/05/2019,YENN,4.80%
1351,08/05/2019,BTC,37.85%
1352,09/05/2019,GBP,5.87%
1353,09/05/2019,EUR,4.13%
1354,09/05/2019,YENN,4.74%
1355,09/05/2019,BTC,38.45%
1356,10/05/2019,GBP,5.74%
1357,10/05/2019,EUR,4.20%
1358,10/05/2019,YENN,4.77%
1359,10/05/2019,BTC,33.29%
1360,13/05/2019,GBP,5.64%
1361,13/05/2019,EUR,4.21%
1362,13/05/2019,YENN,4.20%
1363,13/05/2019,BTC,74.27%
1364,14/05/2019,GBP,5.70%
1365,14/05/2019,EUR,3.94%
1366,14/05/2019,YENN,4.05%
1367,14/05/2019,BTC,73.72%
1368,15/05/2019,GBP,5.81%
1369,15/05/2019,EUR,4.01%
1370,15/05/2019,YENN,4.55%
1371,15/05/2019,BTC,73.63%
1372,16/05/2019,GBP,5.83%
1373,16/05/2019,EUR,3.99%
1374,16/05/2019,YENN,4.53%
1375,16/05/2019,BTC,76.42%
1376,17/05/2019,GBP,5.93%
1377,17/05/2019,EUR,4.06%
1378,17/05/2019,YENN,4.79%
1379,17/05/2019,BTC,82.57%
1380,20/05/2019,GBP,6.06%
1381,20/05/2019,EUR,3.65%
1382,20/05/2019,YENN,4.94%
1383,20/05/2019,BTC,85.57%
1384,21/05/2019,GBP,6.05%
1385,21/05/2019,EUR,3.63%
1386,21/05/2019,YENN,4.94%
1387,21/05/2019,BTC,85.89%
1388,23/05/2019,GBP,6.22%
1389,23/05/2019,EUR,3.60%
1390,23/05/2019,YENN,4.99%
1391,23/05/2019,BTC,86.31%
1392,24/05/2019,GBP,6.32%
1393,24/05/2019,EUR,2.90%
1394,24/05/2019,YENN,5.32%
1395,24/05/2019,BTC,84.04%
1396,27/05/2019,GBP,6.63%
1397,27/05/2019,EUR,2.92%
1398,27/05/2019,YENN,5.09%
1399,27/05/2019,BTC,88.18%
1400,28/05/2019,GBP,6.62%
1401,28/05/2019,EUR,2.97%
1402,28/05/2019,YENN,5.11%
1403,28/05/2019,BTC,88.37%
1404,29/05/2019,GBP,6.59%
1405,29/05/2019,EUR,2.86%
1406,29/05/2019,YENN,5.08%
1407,29/05/2019,BTC,89.10%
1408,30/05/2019,GBP,5.60%
1409,30/05/2019,EUR,2.83%
1410,30/05/2019,YENN,5.14%
1411,30/05/2019,BTC,91.87%
1412,31/05/2019,GBP,5.52%
1413,31/05/2019,EUR,2.81%
1414,31/05/2019,YENN,5.12%
1415,31/05/2019,BTC,91.91%
1416,03/06/2019,GBP,5.70%
1417,03/06/2019,EUR,3.05%
1418,03/06/2019,YENN,6.12%
1419,03/06/2019,BTC,94.27%
1420,04/06/2019,GBP,4.38%
1421,04/06/2019,EUR,3.81%
1422,04/06/2019,YENN,5.64%
1423,04/06/2019,BTC,98.31%
1424,05/06/2019,GBP,4.64%
1425,05/06/2019,EUR,3.79%
1426,05/06/2019,YENN,5.67%
1427,05/06/2019,BTC,98.31%
1428,06/06/2019,GBP,4.63%
1429,06/06/2019,EUR,3.86%
1430,06/06/2019,YENN,5.52%
1431,06/06/2019,BTC,98.36%
1432,07/06/2019,GBP,4.57%
1433,07/06/2019,EUR,4.12%
1434,07/06/2019,YENN,5.55%
1435,07/06/2019,BTC,98.28%
1436,10/06/2019,GBP,4.69%
1437,10/06/2019,EUR,4.27%
1438,10/06/2019,YENN,5.53%
1439,10/06/2019,BTC,98.21%
1440,11/06/2019,GBP,4.70%
1441,11/06/2019,EUR,4.26%
1442,11/06/2019,YENN,5.53%
1443,11/06/2019,BTC,67.29%
1444,12/06/2019,GBP,4.79%
1445,12/06/2019,EUR,4.26%
1446,12/06/2019,YENN,5.35%
1447,12/06/2019,BTC,67.50%
1448,13/06/2019,GBP,4.66%
1449,13/06/2019,EUR,4.30%
1450,13/06/2019,YENN,5.01%
1451,13/06/2019,BTC,66.95%
1452,14/06/2019,GBP,4.44%
1453,14/06/2019,EUR,4.35%
1454,14/06/2019,YENN,5.00%
1455,14/06/2019,BTC,67.87%
1456,17/06/2019,GBP,4.80%
1457,17/06/2019,EUR,4.70%
1458,17/06/2019,YENN,4.88%
1459,17/06/2019,BTC,65.31%
1460,18/06/2019,GBP,4.71%
1461,18/06/2019,EUR,4.69%
1462,18/06/2019,YENN,4.74%
1463,18/06/2019,BTC,60.90%
1464,19/06/2019,GBP,4.81%
1465,19/06/2019,EUR,4.78%
1466,19/06/2019,YENN,4.75%
1467,19/06/2019,BTC,61.02%
1468,20/06/2019,GBP,5.41%
1469,20/06/2019,EUR,4.81%
1470,20/06/2019,YENN,4.79%
1471,20/06/2019,BTC,59.85%
1472,21/06/2019,GBP,5.30%
1473,21/06/2019,EUR,5.05%
1474,21/06/2019,YENN,5.28%
1475,21/06/2019,BTC,62.26%
1476,24/06/2019,GBP,5.42%
1477,24/06/2019,EUR,5.61%
1478,24/06/2019,YENN,5.01%
1479,24/06/2019,BTC,66.82%
1480,25/06/2019,GBP,5.18%
1481,25/06/2019,EUR,5.59%
1482,25/06/2019,YENN,5.02%
1483,25/06/2019,BTC,62.95%
1484,26/06/2019,GBP,5.23%
1485,26/06/2019,EUR,5.67%
1486,26/06/2019,YENN,4.98%
1487,26/06/2019,BTC,68.78%
1488,27/06/2019,GBP,5.19%
1489,27/06/2019,EUR,5.58%
1490,27/06/2019,YENN,5.44%
1491,27/06/2019,BTC,90.55%
1492,28/06/2019,GBP,5.15%
1493,28/06/2019,EUR,5.42%
1494,28/06/2019,YENN,5.37%
1495,28/06/2019,BTC,93.76%
1496,01/07/2019,GBP,5.13%
1497,01/07/2019,EUR,5.42%
1498,01/07/2019,YENN,5.83%
1499,01/07/2019,BTC,112.05%
1500,02/07/2019,GBP,5.27%
1501,02/07/2019,EUR,5.95%
1502,02/07/2019,YENN,4.53%
1503,02/07/2019,BTC,110.38%
1504,03/07/2019,GBP,5.37%
1505,03/07/2019,EUR,5.54%
1506,03/07/2019,YENN,4.85%
1507,03/07/2019,BTC,110.84%
1508,04/07/2019,GBP,5.24%
1509,04/07/2019,EUR,5.55%
1510,04/07/2019,YENN,4.78%
1511,04/07/2019,BTC,114.72%
1512,05/07/2019,GBP,5.24%
1513,05/07/2019,EUR,5.48%
1514,05/07/2019,YENN,4.78%
1515,05/07/2019,BTC,115.36%
1516,08/07/2019,GBP,5.41%
1517,08/07/2019,EUR,5.59%
1518,08/07/2019,YENN,5.25%
1519,08/07/2019,BTC,120.07%
1520,09/07/2019,GBP,5.33%
1521,09/07/2019,EUR,5.39%
