,HPI Index,HPI Index,HPI Index,HPI Index,HPI Index,HPI Index,HPI Index,HPI Index,HPI Index,HPI Index,HPI Index,HPI Index,HPI Index,HPI Index,HPI Index,HPI Index,HPI Index,HPI Index,HPI Index,HPI Index,HPI Index,HPI Index,HPI Index,HPI Index,HPI Index,HPI Index,HPI Index,HPI Index,HPI Index,HPI Index,HPI Index,HPI Index,HPI Index,HPI Index,HPI Index,HPI Index,HPI Index,HPI Index,HPI Index,HPI Index,HPI Index,HPI Index,HPI Index,HPI Index,HPI Index,HPI Index,HPI Index
Year,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Indiana,100.0,105.1,117.68,136.69,154.72,162.85,169.09,160.68,170.87,173.89,179.62,187.86,195.7,206.69,216.24,223.0,230.88,237.64,245.24,254.8,268.59,279.91,291.31,301.27,310.12,321.66,335.16,341.69,346.29,354.42,366.65,373.23,377.39,374.92,366.71,357.72,351.16,349.11,352.61,361.02,372.67,385.67,402.98,429.2,451.7,468.79,523.49
Iowa,100.0,113.1,126.67,144.62,158.86,160.22,155.58,149.71,159.84,161.66,163.82,165.53,166.75,170.31,179.78,188.41,196.28,202.57,212.51,224.78,239.54,248.76,258.57,269.52,279.97,293.49,307.11,315.67,322.92,336.57,352.53,362.3,368.78,370.32,368.42,364.64,362.53,364.18,369.0,377.72,387.66,400.93,416.24,431.49,444.67,451.85,487.54
Kansas,100.0,107.92,120.87,135.39,149.26,159.43,162.52,166.1,170.78,171.93,172.84,178.28,181.82,183.5,186.08,186.42,188.17,191.73,196.83,207.81,221.21,229.9,240.0,249.8,261.81,277.29,290.47,300.48,306.33,318.42,332.35,343.42,350.91,350.12,345.92,341.99,336.12,334.49,337.58,347.04,357.7,371.97,388.35,407.79,423.53,439.35,484.71
Kentucky,100.0,104.04,113.59,130.91,147.04,154.63,158.59,161.98,166.82,170.18,175.62,182.2,189.82,201.46,210.99,216.59,222.59,228.58,235.77,248.21,263.27,273.51,285.35,295.46,307.32,322.7,335.99,344.62,352.86,367.86,386.55,399.14,407.15,409.14,403.03,397.53,391.53,391.18,393.41,400.16,411.86,427.56,447.86,467.59,486.23,502.95,553.66
Louisiana,100.0,109.91,121.42,141.21,172.83,187.91,207.89,214.69,216.64,217.24,210.35,207.71,199.41,186.2,187.57,190.13,195.52,203.1,212.04,224.32,235.61,246.14,257.41,268.13,278.54,289.77,302.86,312.68,323.21,339.76,361.76,401.19,419.74,420.45,414.96,408.39,403.5,405.75,410.89,421.7,434.85,448.58,459.62,469.09,479.54,489.7,517.67
Maine,100.0,98.41,114.02,122.65,136.03,143.82,156.22,156.88,166.27,190.3,210.84,235.7,266.71,302.18,316.06,309.51,299.5,296.86,292.13,288.93,291.13,298.57,305.48,316.87,334.32,366.02,397.57,430.89,459.01,512.04,568.99,592.22,597.99,590.71,558.21,536.21,525.94,513.73,517.59,526.67,539.81,558.96,587.35,621.16,650.51,680.77,777.13
Maryland,100.0,108.78,115.71,131.07,148.29,162.4,175.28,169.78,181.19,192.09,202.02,215.35,235.61,270.32,297.74,309.22,313.99,317.81,318.18,318.21,319.87,324.62,327.38,334.35,344.51,367.78,396.17,434.42,467.66,545.74,663.4,745.18,758.86,713.45,635.5,601.98,577.76,567.94,577.11,596.35,609.62,625.54,643.61,662.2,680.92,698.26,764.2
Massachusetts,100.0,106.12,109.55,122.0,138.68,156.13,182.95,192.56,205.54,250.19,300.55,353.71,396.37,421.44,423.5,405.84,381.91,375.76,372.44,374.39,382.93,395.39,412.94,437.56,475.03,553.61,614.59,679.45,730.72,806.38,885.21,894.08,865.38,823.83,775.68,757.25,739.68,730.68,744.37,783.45,811.48,851.29,899.35,947.71,986.32,1016.92,1127.02
Michigan,100.0,102.9,112.81,130.75,155.25,165.14,171.87,150.78,158.01,159.4,166.1,178.55,194.18,211.06,225.49,236.38,244.11,249.86,254.5,266.09,287.3,306.18,330.06,346.08,366.51,395.79,415.65,428.64,437.05,450.88,465.78,459.94,439.65,409.13,375.86,346.55,333.3,331.14,349.58,377.54,395.89,416.81,444.81,473.07,495.96,510.77,568.85
Minnesota,100.0,108.82,121.31,142.53,163.2,179.91,183.16,159.99,194.57,199.42,203.95,210.24,219.37,227.83,235.37,238.39,244.25,249.32,256.41,265.13,280.94,292.57,307.15,321.39,344.91,386.15,421.01,453.55,474.36,514.91,556.73,571.92,567.48,542.43,509.14,478.27,452.74,446.03,463.85,490.34,506.56,529.96,560.85,592.58,616.58,632.32,692.73
