Haiti,43.75
Honduras,29.01
Belize,28.99
Guatemala,20.13
Nicaragua,13.15
Colombia,12.75
Guyana,11.55
Ecuador,9.80
Jamaica,9.31
Brazil,9.12
Bolivia,7.82
Peru,7.50
Mexico,6.57
El Salvador,5.69
Panama,4.58
Paraguay,4.55
Costa Rica,3.24
Dominican Republic,2.70
Chile,0.65
Uruguay,0.45
