Name,id,2008-01,2020-08,2022-06
Boone County,164,3.8,1,0.6
Fayette County,165,3.2,0.8,0.7
Jefferson County,166,3.7,1,0.9
Kenton County,167,3.9,0.7,0.6
Bossier Parish,168,3.9,1.6,1.4
Caddo Parish,169,5.2,2.1,2.3
Calcasieu Parish,170,3.6,1.4,1.7
East Baton Rouge Parish,171,4.8,1.5,1.8
Jefferson Parish,172,4.2,1.3,1.5
Lafayette Parish,173,3.1,1.7,1.4
Livingston Parish,174,5.4,2.4,2.6
Orleans Parish,175,3.5,1.4,1.3
St. Tammany Parish,176,2,1.2,1
Cumberland County,177,2.6,0.9,0.7
Penobscot County,178,4.2,1.1,1.2
York County,179,3.7,1.1,1.2
Anne Arundel County,180,2.7,0.8,0.8
Baltimore County,181,3.6,1.2,1.4
Calvert County,182,2.5,1.4,0.8
Carroll County,183,2,0.2,0.6
Charles County,184,4.1,1.4,1.6
Frederick County,185,2.6,0.7,0.9
Harford County,186,3,1.1,0.9
Howard County,187,1.8,0.5,0.7
Montgomery County,188,2.1,0.4,0.5
Prince George's County,189,5.3,1.6,1.5
St. Mary's County,190,3.2,0.8,0.8
Washington County,191,3.5,1.2,1
Baltimore city,192,5.8,1.7,1.9
Barnstable County,193,2.4,0.9,0.8
Berkshire County,194,3.3,1.4,0.9
Bristol County,195,3.9,1.3,0.9
Essex County,196,3,0.7,0.6
Hampden County,197,4.1,1.7,1.2
Hampshire County,198,2.7,1.1,0.4
Middlesex County,199,2.1,0.5,0.5
Norfolk County,200,2.5,0.5,0.6
Plymouth County,201,4.5,1.2,0.7
Suffolk County,202,3.4,0.7,0.7
Worcester County,203,3.3,1.1,1.1
Berrien County,204,3.7,1.5,1.1
Eaton County,205,3.9,1.2,0.9
Genesee County,206,6,1.4,1.3
Ingham County,207,4.5,0.9,1
Jackson County,208,4.1,1,1.5
Kalamazoo County,209,3.8,1,1.1
Kent County,210,3.7,0.8,0.9
Livingston County,211,3.6,0.7,0.5
Macomb County,212,4.2,0.8,0.9
Monroe County,213,5.1,1.2,1.3
Muskegon County,214,6.5,1.7,1.8
Oakland County,215,3.5,0.6,0.7
Ottawa County,216,3,0.4,0.9
Saginaw County,217,5.2,0.5,1.9
St. Clair County,218,4.4,1.6,1.7
Washtenaw County,219,2.6,0.5,0.9
Wayne County,220,7.1,1.1,1.2
Anoka County,221,2.7,0.6,0.8
Carver County,222,2.5,0.3,0.4
Dakota County,223,2.3,0.3,0.5
Hennepin County,224,2.4,0.6,0.5
Olmsted County,225,1.9,0.6,0.5
Ramsey County,226,2.4,0.7,0.5
St. Louis County,227,3.1,0.8,0.8
Scott County,228,2.2,0.3,0.8
Stearns County,229,2.2,0.6,0.7
Washington County,230,1.8,0.7,0.3
Wright County,231,3.3,0.6,0.8
DeSoto County,232,4.4,1.4,1.7
Harrison County,233,3.9,1.8,1.8
Hinds County,234,6.8,2.2,3.1
Rankin County,235,3.8,1.9,1.4
Boone County,236,1.9,0.5,0.8
Clay County,237,3,1.2,1.4
Greene County,238,2.7,0.8,0.8
Jackson County,239,4.7,1.2,1.1
Jefferson County,240,3.8,1.4,1.3
St. Charles County,241,2.4,0.8,0.7
St. Louis County,242,3.9,1.1,1.1
St. Louis city,243,7.7,1.1,1.3
Yellowstone County,244,1.7,0.8,0.4
Douglas County,245,2.8,0.9,0.6
Lancaster County,246,2.2,0.8,0.5
Sarpy County,247,1.8,0.6,0.7
Clark County,248,4.3,0.6,0.6
Washoe County,249,3.2,0.3,0.7
Hillsborough County,250,2.8,1.2,0.8
Merrimack County,251,3.7,0.7,1.1
Rockingham County,252,3.1,0.7,1
Strafford County,253,4.2,1.3,1
Atlantic County,254,3.4,1.7,1.1
Bergen County,255,1.8,0.8,0.7
Burlington County,256,3.5,1.1,1.6
Camden County,257,4.2,1.5,1.5
Cape May County,258,2.5,0.7,0.6
Essex County,259,4.3,1.1,1.1
Gloucester County,260,3.9,1.3,1.2
Hudson County,261,3.5,0.8,0.7
Hunterdon County,262,1.7,0.4,0.7
Mercer County,263,2.6,0.7,1.1
Middlesex County,264,2.7,0.9,0.8
Monmouth County,265,2.1,0.9,0.8
Morris County,266,1.4,0.6,0.7
Ocean County,267,3.4,1.2,1.1
Passaic County,268,3.8,0.8,1
Somerset County,269,1.6,0.3,0.6
Sussex County,270,3.2,1.2,1.5
Union County,271,3.5,1.3,1.2
Bernalillo County,272,2.7,1.1,1.1
Dona Ana County,273,2.6,1.3,1.1
Sandoval County,274,3.7,1,1.4
Santa Fe County,275,1.8,0.7,0.5
Albany County,276,2.6,1.1,1
Bronx County,277,4.1,1.2,1.1
Broome County,278,3.3,0.6,1.1
Dutchess County,279,3.3,1.2,0.9
Erie County,280,3.4,1.1,1.1
Kings County,281,3.4,0.7,0.8
Monroe County,282,3.1,0.8,1.1
Nassau County,283,2.8,0.9,0.7
New York County,284,1.2,0.4,0.4
Niagara County,285,3.1,0.9,1.2
Oneida County,286,4.3,1.2,1
Onondaga County,287,3.9,1.1,1.4
Orange County,288,4,1.2,0.8
Queens County,289,3.4,1,0.9
Rensselaer County,290,3.3,1.6,0.7
Richmond County,291,2.3,0.8,0.8
Rockland County,292,2.6,1.3,0.7
Saratoga County,293,2.7,0.8,0.8
Schenectady County,294,3.6,0.8,1.4
Suffolk County,295,3.7,1,1
Ulster County,296,3.4,1.1,0.9
Westchester County,297,2,0.7,0.6
Alamance County,298,4.7,1.5,1.5
Brunswick County,299,3.1,1.2,1
Buncombe County,300,2.9,0.8,0.5
Cabarrus County,301,3.8,1.5,1.1
Catawba County,302,3.7,1.4,1.9
Cumberland County,303,4,1.2,1.2
Davidson County,304,4.6,1.7,1.7
Durham County,305,3.6,0.8,0.4
Forsyth County,306,4.1,1.4,1.6
Gaston County,307,5.7,1.7,1.5
Guilford County,308,3.9,1,1.3
Iredell County,309,4.2,1.3,0.9
Johnston County,310,4.6,0.6,1
Mecklenburg County,311,3.8,0.8,0.7
New Hanover County,312,2.5,0.7,0.8
Onslow County,313,3,1.4,1.5
Pitt County,314,3.3,1.8,1
Union County,315,4,1,0.9
Wake County,316,2.7,0.6,0.5
Cass County,317,1.7,0.6,0.7
Butler County,318,4.3,0.6,0.6
Clermont County,319,3.2,0.7,1.3
Cuyahoga County,320,4.1,1.1,1.4
Delaware County,321,1.9,0.5,0.2
