Name,2008-02,2020-01,2022-06
"Killeen-Temple, TX",3.2,2.8,1.3
"Kingsport-Bristol-Bristol, TN-VA",3.1,3.6,1.5
"Kingston, NY",3.1,2.1,0.9
"Knoxville, TN",3.7,2.4,1.1
"Lafayette, LA",3.3,3.3,1.8
"Lafayette-West Lafayette, IN",2.4,1.8,1.2
"Lake Charles, LA",3.2,3.1,1.7
"Lake Havasu City-Kingman, AZ",2.5,1.6,0.8
"Lakeland-Winter Haven, FL",4.9,3.5,1.2
"Lancaster, PA",2.1,2.3,0.8
"Lansing-East Lansing, MI",3.5,2,0.9
"Laredo, TX",7.1,8.4,3.3
"Las Cruces, NM",2.9,3.4,1.1
"Las Vegas-Henderson-Paradise, NV",4,1.7,0.6
"Lebanon, PA",3,3,1
"Lexington-Fayette, KY",3.1,1.9,0.7
"Lincoln, NE",1.9,1.4,0.5
"Little Rock-North Little Rock-Conway, AR",3.5,3.2,1.3
"Longview, TX",4.2,4.7,1.7
"Los Angeles-Long Beach-Anaheim, CA",2.7,1.3,0.5
"Louisville/Jefferson County, KY-IN",3.4,2.3,1
"Lubbock, TX",3.5,3.7,1.6
"Macon-Bibb County, GA",5,5.2,1.3
"Madison, WI",1.2,0.9,0.5
"Manchester-Nashua, NH",2.4,2,0.8
"McAllen-Edinburg-Mission, TX",6,6,2.7
"Medford, OR",2.1,1,0.2
"Memphis, TN-MS-AR",5.5,3.5,1.4
"Merced, CA",5,1.8,1.2
"Miami-Fort Lauderdale-West Palm Beach, FL",4.5,2.3,0.8
"Milwaukee-Waukesha-West Allis, WI",2.2,1.4,0.6
"Minneapolis-St. Paul-Bloomington, MN-WI",2.5,1.3,0.6
"Mobile, AL",4.5,3.9,2.2
"Modesto, CA",4.7,2.1,1
"Monroe, MI",4.4,2.3,1.3
"Montgomery, AL",4.5,3.3,1.7
"Muskegon, MI",6.5,3.8,1.8
"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",3.1,1.9,0.8
"Napa, CA",2.4,1.2,0.2
"Naples-Immokalee-Marco Island, FL",3.1,1.5,0.7
"Nashville-Davidson--Murfreesboro--Franklin, TN",3.6,2.1,0.9
"New Haven-Milford, CT",3.3,3.2,1
"New Orleans-Metairie, LA",3.3,3.7,1.3
"New York-Newark-Jersey City, NY-NJ-PA",2.7,2.1,0.8
"Niles-Benton Harbor, MI",3.6,3.4,1.1
"North Port-Sarasota-Bradenton, FL",3.3,1.5,0.7
"Norwich-New London, CT",2.2,2.2,1
"Ocala, FL",3.6,2.9,1.6
"Ocean City, NJ",1.8,1.7,0.6
"Ogden-Clearfield, UT",2.5,1.9,0.8
"Oklahoma City, OK",3,2.4,1.1
"Olympia-Tumwater, WA",1.5,1.8,0.3
"Omaha-Council Bluffs, NE-IA",2.7,1.6,0.7
"Orlando-Kissimmee-Sanford, FL",4.4,2.2,0.9
"Oshkosh-Neenah, WI",2.2,1,0.4
"Oxnard-Thousand Oaks-Ventura, CA",2.3,1.1,0.5
"Palm Bay-Melbourne-Titusville, FL",3.5,1.5,0.8
"Panama City, FL",3.2,2,0.6
"Pensacola-Ferry Pass-Brent, FL",3.8,2.5,1
"Peoria, IL",2.7,2.5,1.1
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",3.3,2.9,1.3
"Phoenix-Mesa-Scottsdale, AZ",3.4,1.7,0.6
"Pittsburgh, PA",3.7,2.7,1.3
