fips,value
13253,3.43
13255,3.43
13257,2.61
13259,1.19
13261,1.82
13263,
13265,1.37
13267,2.15
13269,0.78
13271,3.43
13273,3.43
13275,1.58
13277,1.58
13279,1.58
13281,3.43
13283,3.43
13285,1.37
13287,2.61
13289,
13291,
13293,3.43
13295,
13297,
13299,1.19
13301,3.43
13303,2.15
13305,1.58
13307,
13309,0.78
13311,
13313,1.19
13315,3.43
13317,2.61
13319,2.15
13321,2.61
15001,3.43
15003,2.61
15007,3.43
15009,3.43
16001,2.15
16003,
16005,1.82
16007,3.43
16009,1.58
16011,1.82
16013,
16015,
16017,3.43
16019,2.15
16021,3.43
16023,0.78
16025,2.15
16027,3.43
16029,1.37
16031,1.37
16033,0.78
16035,2.61
16037,1.37
16039,
16041,3.43
16043,
16045,
16047,1.82
16049,2.15
16051,
16053,1.37
16055,3.43
16057,2.61
16059,1.58
16061,
16063,3.43
16065,1.82
16067,1.82
16069,1.19
16071,2.61
16073,2.15
16075,3.43
16077,2.61
16079,1.82
16081,
16083,1.82
16085,
16087,1.82
17001,1.19
17003,1.37
17005,1.82
17007,3.43
17009,0.78
17011,1.37
17013,
17015,2.61
17017,0.78
17019,1.37
17021,1.58
17023,2.61
17025,0.78
17027,2.15
17029,1.01
17031,1.58
17033,1.19
17035,1.82
17037,2.61
17039,1.58
17041,1.19
17043,1.82
17045,1.19
17047,1.19
17049,1.01
17051,1.82
17053,1.82
17055,1.82
17057,2.15
17059,1.58
17061,2.61
17063,2.15
17065,2.61
17067,1.82
17069,1.58
17071,
17073,3.43
17075,2.15
17077,1.01
17079,1.82
17081,1.01
17083,
17085,2.15
17087,2.61
17089,3.43
17091,1.82
17093,
17095,1.37
17097,2.61
17099,1.37
17101,1.19
17103,1.58
17105,0.78
17107,1.58
17109,0.78
17111,
17113,1.19
17115,1.19
17117,2.61
17119,2.61
17121,1.58
17123,2.61
17125,2.61
17127,0.78
17129,
17131,
17133,
17135,2.15
17137,1.19
17139,1.19
17141,2.61
17143,1.19
17145,1.82
17147,
17149,1.82
17151,3.43
17153,1.58
17155,1.01
17157,1.19
17159,1.82
17161,1.01
17163,2.15
17165,1.19
17167,0.78
17169,1.37
17171,1.37
17173,2.15
17175,1.82
17177,1.01
17179,1.37
17181,1.37
17183,1.37
17185,1.58
17187,1.01
17189,1.37
17191,1.19
17193,1.82
17195,1.82
17197,
17199,1.37
17201,1.58
17203,2.61
18001,1.58
18003,1.58
18005,1.19
18007,
18009,1.37
18011,
18013,
18015,3.43
18017,1.19
18019,1.82
18021,3.43
18023,1.58
18025,3.43
18027,1.58
18029,
18031,1.82
18033,1.58
18035,1.58
18037,1.01
18039,1.01
18041,2.15
18043,2.15
18045,1.58
18047,
18049,2.61
18051,1.01
18053,1.58
18055,2.61
18057,3.43
18059,
18061,2.61
18063,3.43
18065,2.61
18067,1.19
18069,1.82
18071,1.58
18073,2.61
18075,1.01
18077,1.82
18079,1.82
18081,
18083,1.19
18085,1.37
18087,2.15
18089,1.82
18091,1.82
18093,3.43
18095,2.61
18097,1.01
18099,1.37
18101,0.78
18103,2.61
18105,1.58
18107,1.58
18109,
18111,3.43
18113,1.58
18115,2.61
18117,2.15
18119,3.43
18121,
18123,1.37
18125,2.61
18127,2.61
18129,2.15
18131,3.43
18133,2.61
18135,2.61
18137,1.58
18139,
18141,1.37
18143,2.61
18145,2.15
18147,1.37
18149,
18151,2.15
18153,3.43
18155,2.15
18157,1.37
18159,3.43
18161,3.43
18163,1.01
18165,1.37
18167,1.19
18169,2.15
18171,3.43
18173,
18175,3.43
18177,1.37
18179,2.61
18181,3.43
18183,2.61
19001,1.82
19003,3.43
19005,1.19
19007,1.58
19009,1.37
19011,
19013,1.19
19015,2.15
19017,1.58
19019,3.43
19021,1.01
19023,
19025,1.58
19027,1.19
19029,1.82
19031,3.43
19033,1.58
19035,0.78
19037,1.58
19039,1.82
19041,1.01
19043,1.82
19045,1.19
19047,1.19
19049,2.15
19051,3.43
19053,3.43
19055,1.82
19057,1.01
19059,1.82
19061,1.58
19063,1.01
19065,1.82
19067,2.15
19069,2.61
19071,1.58
19073,2.61
19075,2.61
19077,
19079,1.37
19081,1.58
19083,1.82
19085,
19087,1.01
19089,1.37
19091,1.37
19093,1.82
19095,0.78
19097,2.15
19099,2.61
19101,1.37
19103,1.37
19105,2.15
19107,2.15
19109,1.82
19111,1.01
19113,1.19
19115,2.61
19117,0.78
19119,1.82
19121,
19123,1.58
19125,1.37
19127,1.19
19129,
19131,1.01
19133,1.19
19135,0.78
19137,1.37
19139,1.19
19141,1.19
19143,2.15
19145,1.01
19147,1.01
19149,1.37
19151,1.58
19153,1.19
19155,1.58
19157,1.01
19159,1.37
19161,2.61
19163,1.37
19165,1.58
19167,1.01
19169,1.37
19171,3.43
19173,1.37
19175,1.58
19177,1.01
19179,1.01
19181,
19183,2.61
19185,0.78
19187,1.19
19189,1.01
19191,1.01
19193,1.01
19195,1.82
19197,1.01
20001,1.01
20003,2.15
20005,1.01
20007,1.19
20009,0.78
20011,2.15
20013,1.01
20015,3.43
20017,
20019,1.01
20021,1.82
20023,0.78
20025,1.58
20027,1.58
20029,1.58
20031,0.78
20033,1.58
20035,1.19
20037,1.82
20039,1.58
20041,1.58
20043,1.01
20045,2.15
20047,
20049,0.78
20051,1.19
20053,1.19
20055,1.01
20057,1.01
20059,1.58
20061,1.58
20063,0.78
20065,1.01
20067,0.78
20069,0.78
20071,0.78
20073,1.19
20075,0.78
20077,1.01
20079,1.82
20081,0.78
20083,1.82
20085,1.82
20087,3.43
20089,0.78
20091,1.82
20093,1.19
20095,1.58
20097,1.82
20099,0.78
20101,1.01
20103,3.43
20105,0.78
20107,2.61
20109,1.37
20111,1.01
20113,1.37
20115,2.15
20117,0.78
20119,1.58
20121,
20123,0.78
20125,1.19
20127,1.82
20129,0.78
20131,0.78
20133,0.78
20135,2.15
20137,0.78
20139,3.43
20141,0.78
20143,2.15
20145,0.78
20147,0.78
20149,1.82
20151,0.78
20153,0.78
20155,1.19
20157,1.19
20159,1.37
20161,1.19
20163,0.78
20165,1.19
20167,0.78
20169,1.37
20171,1.82
20173,1.19
20175,1.01
20177,1.19
20179,1.19
20181,3.43
20183,0.78
20185,1.82
20187,0.78
20189,2.15
20191,2.61
20193,1.01
20195,1.01
20197,2.15
20199,0.78
20201,2.61
20203,0.78
20205,0.78
20207,0.78
20209,1.01
21001,1.82
21003,3.43
21005,
21007,0.78
21009,1.37
21011,3.43
21013,1.37
21015,1.37
21017,2.15
21019,1.01
21021,1.58
21023,3.43
21025,1.37
21027,
21029,3.43
21031,2.61
21033,1.58
21035,1.01
21037,2.61
21039,1.01
21041,0.78
21043,2.61
21045,2.15
21047,1.19
21049,1.82
21051,1.58
21053,2.15
21055,2.61
21057,1.19
21059,1.19
21061,
21063,3.43
21065,3.43
21067,1.37
21069,3.43
21071,1.58
