fips,value
40013,1.19
40015,1.58
40017,3.43
40019,1.01
40021,1.58
40023,1.58
40025,0.78
40027,3.43
40029,3.43
40031,1.58
40033,1.37
40035,1.37
40037,2.15
40039,1.01
40041,3.43
40043,1.82
40045,2.15
40047,1.37
40049,1.37
40051,2.61
40053,
40055,1.01
40057,0.78
40059,1.01
40061,1.58
40063,2.61
40065,1.37
40067,1.19
40069,1.37
40071,1.19
40073,1.37
40075,3.43
40077,0.78
40079,1.37
40081,2.15
40083,
40085,1.58
40087,3.43
40089,1.19
40091,3.43
40093,3.43
40095,1.82
40097,1.82
40099,1.58
40101,1.37
40103,1.19
40105,2.61
40107,2.15
40109,1.01
40111,2.61
40113,
40115,1.82
40117,2.61
40119,1.19
40121,1.19
40123,1.01
40125,1.82
40127,1.82
40129,0.78
40131,2.61
40133,1.37
40135,2.61
40137,1.37
40139,1.01
40141,1.01
40143,1.19
40145,
40147,1.58
40149,2.61
40151,1.19
40153,0.78
41001,1.58
41003,1.82
41005,
41007,3.43
41009,
41011,2.61
41013,2.61
41015,3.43
41017,
41019,2.61
41021,1.82
41023,3.43
41025,1.58
41027,3.43
41029,3.43
41031,3.43
41033,
41035,2.15
41037,1.82
41039,2.61
41041,3.43
41043,1.82
41045,1.19
41047,2.15
41049,1.01
41051,1.82
41053,
41055,2.61
41057,
41059,1.37
41061,1.82
41063,2.15
41065,1.58
41067,2.15
41069,1.37
41071,
42001,3.43
42003,1.01
42005,1.37
42007,2.15
42009,1.82
42011,1.82
42013,1.19
42015,1.37
42017,3.43
42019,2.15
42021,1.19
42023,0.78
42025,3.43
42027,1.37
42029,2.15
42031,1.01
42033,1.19
42035,1.58
42037,1.37
42039,1.58
42041,1.58
42043,1.01
42045,2.61
42047,1.01
42049,1.19
42051,1.58
42053,1.01
42055,1.58
42057,1.37
42059,1.01
42061,2.15
42063,1.58
42065,1.19
42067,1.82
42069,1.37
42071,1.58
42073,2.15
42075,2.15
42077,1.58
42079,1.37
42081,1.37
42083,1.01
42085,1.58
42087,1.01
42089,3.43
42091,1.37
42093,0.78
42095,2.61
42097,1.58
42099,
42101,1.01
42103,
42105,2.15
42107,1.58
42109,1.37
42111,1.58
42113,1.58
42115,
42117,1.82
42119,1.37
42121,1.37
42123,1.01
42125,2.15
42127,3.43
42129,1.58
42131,2.15
42133,1.82
44001,
44003,2.61
44005,2.15
44007,1.82
44009,3.43
45001,2.15
45003,1.82
45005,0.78
45007,2.61
45009,1.19
45011,1.82
45013,
45015,
45017,1.58
45019,2.61
45021,1.58
45023,1.58
45025,1.82
45027,2.15
45029,2.61
45031,1.58
45033,1.82
45035,
45037,
45039,1.58
45041,1.37
45043,2.61
45045,1.58
45047,1.58
45049,1.58
45051,3.43
45053,1.01
45055,3.43
45057,3.43
45059,2.61
45061,1.58
45063,2.61
45065,3.43
45067,2.15
45069,1.01
45071,1.82
45073,2.15
45075,1.58
45077,2.15
45079,1.37
45081,2.61
45083,1.58
45085,2.15
45087,1.82
45089,1.19
45091,3.43
46003,3.43
46005,1.01
46007,1.58
46009,2.15
46011,1.01
46013,1.58
46015,2.15
46017,
46019,1.82
46021,1.82
46023,0.78
46025,1.58
46027,1.01
46029,1.19
46031,1.01
46033,2.61
46035,1.19
46037,1.19
46039,1.01
46041,0.78
46043,0.78
46045,
46047,2.61
46049,1.58
46051,1.37
46053,0.78
46055,1.01
46057,1.58
46059,1.82
46061,
46063,
46065,1.37
46067,1.37
46069,0.78
46071,1.19
46073,2.61
46075,0.78
46077,
46079,2.15
46081,1.58
46083,3.43
46085,3.43
46087,3.43
46089,1.19
46091,1.58
46093,
46095,0.78
46097,2.61
46099,1.37
46101,1.58
46103,1.82
46105,3.43
46107,1.19
46109,1.58
46111,1.19
46113,0.78
46115,3.43
46117,3.43
46119,
46121,0.78
46123,1.58
46125,
46127,1.19
46129,1.19
46135,1.58
46137,0.78
47001,1.19
47003,1.58
47005,2.61
47007,
47009,1.58
47011,2.15
47013,2.61
47015,
47017,2.61
47019,
47021,
47023,
47025,2.15
47027,2.61
47029,2.61
47031,1.58
47033,2.61
47035,2.61
47037,1.19
47039,1.37
47041,1.82
47043,
47045,1.19
47047,
47049,2.61
47051,3.43
47053,2.15
47055,2.61
47057,3.43
47059,1.58
47061,3.43
47063,1.58
47065,1.37
47067,3.43
47069,1.37
47071,2.61
47073,3.43
47075,1.82
47077,2.15
47079,3.43
47081,
47083,3.43
47085,1.58
47087,
47089,3.43
47091,2.15
47093,1.82
47095,2.15
47097,1.58
47099,2.61
47101,3.43
47103,3.43
47105,2.61
47107,1.82
47109,1.82
47111,
47113,1.19
47115,3.43
47117,2.15
47119,1.82
47121,
47123,3.43
47125,3.43
47127,3.43
47129,
47131,1.58
47133,3.43
47135,3.43
47137,2.61
47139,3.43
47141,1.37
47143,1.82
47145,1.19
47147,
47149,2.15
47151,2.61
47153,
47155,3.43
47157,1.19
47159,2.61
47161,3.43
47163,1.58
47165,
47167,
47169,3.43
47171,2.15
47173,
47175,
47177,2.15
47179,1.82
47181,2.61
47183,2.15
47185,1.82
47187,3.43
47189,3.43
48001,1.01
48003,1.19
48005,1.19
48007,
48009,1.82
48011,3.43
48013,2.61
48015,1.58
48017,1.19
48019,
48021,
48023,1.37
48025,1.19
48027,2.15
48029,1.37
48031,1.82
48033,2.15
48035,2.15
48037,1.01
48039,2.15
48041,1.19
48043,1.37
48045,0.78
48047,1.01
48049,1.01
48051,1.37
48053,2.61
48055,3.43
48057,0.78
48059,3.43
48061,1.37
48063,1.58
48065,0.78
48067,1.37
48069,1.01
48071,2.61
48073,1.58
48075,0.78
48077,3.43
48079,0.78
48081,3.43
48083,1.01
48085,2.15
48087,0.78
48089,1.37
48091,3.43
48093,2.61
48095,1.58
48097,1.19
48099,2.61
48101,0.78
48103,0.78
48105,0.78
48107,1.37
48109,1.01
48111,1.01
48113,0.78
48115,1.01
48117,0.78
48119,1.01
48121,
48123,1.58
48125,1.01
48127,0.78
48129,1.82
48131,1.01
48133,1.19
48135,0.78
48137,1.82
48139,3.43
48141,1.58
48143,1.37
48145,1.19
48147,2.15
48149,1.01
48151,2.61
48153,1.37
48155,1.19
48157,3.43
48159,2.61
48161,1.37
48163,1.19
48165,1.01
48167,2.61
48169,1.01
48171,2.15
48173,2.61
48175,2.61
48177,1.37
48179,1.01
48181,1.58
48183,1.01
48185,1.82
48187,3.43
48189,1.01
48191,1.82
48193,1.37
48195,0.78
48197,1.82
48199,2.61
48201,1.01
48203,1.19
48205,2.15
48207,0.78
48209,3.43
48211,0.78
48213,2.61
48215,1.58
48217,2.61
48219,1.19
48221,3.43
48223,1.58
48225,1.19
48227,1.01
48229,0.78
48231,1.37
48233,1.01
48235,0.78
48237,1.19
48239,1.58
48241,1.37
48243,1.37
48245,1.01
48247,0.78
48249,0.78
48251,2.61
48253,2.15
48255,1.01
48257,3.43
48259,
48261,0.78
48263,2.61
48265,1.82
48267,0.78
48269,0.78
48271,2.15
48273,1.37
48275,0.78
48277,1.37
48279,2.61
48281,
48283,1.01
48285,2.15
48287,1.58
48289,1.01
48291,1.82
48293,1.19
48295,1.19
48297,1.37
48299,3.43
48303,1.37
48305,1.37
48307,2.61
48309,1.01
48311,1.19
48313,1.58
48315,3.43
48317,2.15
48319,1.01
48321,1.82
48323,1.58
48325,
48327,
48329,1.01
48331,1.37
48333,2.15
48335,0.78
48337,2.61
48339,3.43
48341,0.78
48343,1.19
48345,1.01
48347,1.37
48349,1.19
48351,1.19
48353,1.58
48355,1.19
48357,0.78
48359,1.01
48361,1.82
48363,1.82
48365,1.01
48367,
48369,0.78
48371,1.01
48373,3.43
48375,0.78
48377,1.37
48379,
48381,3.43
48383,0.78
48385,0.78
48387,2.61
48389,0.78
48391,1.82
48393,2.15
48395,1.58
48397,
48399,0.78
48401,1.37
48403,1.01
48405,2.61
48407,
48409,2.61
48411,1.82
48413,3.43
48415,1.01
48417,1.01
48419,1.58
48421,0.78
48423,1.58
48425,1.19
48427,1.82
48429,0.78
48431,0.78
48433,0.78
48435,2.61
48437,0.78
48439,1.58
48441,1.19
48443,0.78
48445,1.19
48447,3.43
48449,1.01
48451,1.37
48453,1.37
48455,3.43
48457,1.82
48459,
48461,0.78
48463,1.82
48465,1.58
48467,3.43
48469,1.37
48471,1.01
48473,1.58
48475,0.78
48477,1.37
48479,1.37
48481,1.19
48483,0.78
48485,1.19
48487,0.78
48489,1.82
48491,3.43
48493,
48495,1.01
48497,1.58
48499,2.61
48501,0.78
48503,1.01
48505,0.78
48507,1.37
49001,1.37
49003,1.58
49005,1.82
49007,1.19
49009,0.78
49011,3.43
49013,1.19
49015,0.78
49017,1.58
49019,1.58
49021,2.61
49023,1.82
49025,1.37
49027,1.82
49029,
49031,0.78
49033,0.78
49035,1.82
49037,1.37
49039,2.61
49041,2.15
49043,
49045,3.43
49047,1.58
49049,3.43
49051,
49053,3.43
49055,2.15
49057,2.15
50001,1.58
50003,1.82
50005,1.58
50007,1.37
50009,3.43
50011,2.15
50013,
50015,2.61
50017,2.61
50019,2.15
50021,1.82
50023,1.82
50025,1.58
50027,2.15
51001,2.15
51003,2.61
51005,1.82
51007,
51009,2.61
51011,3.43
51013,1.19
51015,2.61
51017,1.58
51019,
51021,1.37
51023,3.43
51025,1.58
51027,1.58
51029,2.61
51031,2.61
51033,
51035,2.61
51036,2.61
51037,
51041,3.43
51043,
51045,
51047,
51049,
51051,1.58
51053,2.61
51057,3.43
51059,2.61
51061,
51063,
51065,
51067,
51069,
51071,2.61
51073,
51075,2.15
51077,
51079,
51081,1.82
51083,1.82
51085,3.43
51087,1.58
51089,2.15
51091,1.58
51093,
51095,
51097,
51099,1.82
51101,
51103,2.61
51105,1.19
51107,
51109,
51111,3.43
51113,
51115,
51117,2.15
51119,3.43
51121,1.82
51125,
51127,
51131,2.15
51133,
51135,1.82
51137,
51139,3.43
51141,2.15
51143,3.43
51145,
51147,1.01
51149,2.61
51153,
51155,1.58
51157,
51159,1.58
51161,3.43
51163,3.43
51165,2.15
51167,2.61
51169,2.61
51171,3.43
51173,1.37
51175,3.43
51177,
51179,
51181,0.78
51183,1.58
51185,1.58
51187,
51191,1.82
51193,
51195,1.37
51197,2.15
51199,
51510,1.82
51515,1.01
51520,0.78
51530,1.82
51540,0.78
51550,3.43
51570,1.82
51580,0.78
51590,0.78
51595,0.78
51600,1.58
51610,1.82
51620,1.37
51630,1.19
51640,0.78
51650,2.15
51660,0.78
51670,1.58
51678,1.58
51680,0.78
51683,1.37
51685,
51690,1.01
51700,1.58
51710,1.01
51720,0.78
51730,1.01
51735,
51740,1.82
51750,0.78
51760,0.78
51770,0.78
51775,0.78
51790,2.61
51800,
51810,
51820,1.37
51830,1.37
51840,0.78
53001,1.37
53003,3.43
53005,1.58
53007,2.15
53009,3.43
53011,
53013,0.78
53015,2.61
53017,3.43
53019,2.15
53021,1.82
53023,1.58
53025,1.82
53027,3.43
53029,
53031,
53033,2.15
53035,
53037,
53039,2.15
53041,2.15
53043,
53045,
53047,2.15
53049,
53051,2.15
53053,
53055,
53057,3.43
53059,
53061,
53063,2.15
53065,
53067,3.43
53069,2.61
53071,1.58
53073,3.43
53075,1.19
53077,1.58
54001,2.15
54003,3.43
54005,1.01
54007,1.19
54009,1.37
54011,1.01
54013,1.58
54015,1.19
54017,1.82
54019,1.82
54021,1.01
54023,1.01
54025,2.15
54027,
54029,1.37
54031,1.19
54033,1.37
54035,1.37
54037,
54039,1.01
54041,1.58
54043,2.61
54045,1.37
54047,1.01
54049,1.19
54051,1.01
54053,1.58
54055,1.58
54057,2.61
54059,1.01
54061,1.19
54063,3.43
54065,
54067,1.19
54069,0.78
54071,2.15
54073,0.78
54075,1.58
54077,1.82
54079,1.82
54081,1.58
54083,1.37
54085,1.01
54087,1.58
54089,
54091,3.43
54093,3.43
54095,1.19
54097,1.58
54099,1.19
54101,1.58
54103,1.58
54105,3.43
54107,1.19
54109,1.37
55001,3.43
55003,0.78
55005,1.37
55007,2.61
55009,1.19
55011,1.19
55013,2.61
55015,3.43
55017,1.58
55019,1.37
55021,3.43
55023,1.37
55025,1.37
55027,1.37
55029,3.43
55031,1.82
55033,1.58
55035,1.37
55037,3.43
55039,1.58
55041,1.19
55043,1.58
55045,1.82
55047,1.19
55049,2.15
55051,3.43
55053,0.78
55055,2.15
55057,1.37
55059,3.43
55061,1.37
55063,1.19
55065,3.43
55067,1.19
55069,2.15
55071,1.37
55073,1.19
55075,1.19
55077,
55078,0.78
55079,1.01
55081,1.01
55083,
55085,2.15
55087,1.37
55089,2.61
55091,2.15
55093,
55095,3.43
55097,1.37
55099,1.19
55101,2.15
55103,1.19
55105,1.82
55107,1.82
55109,
55111,1.37
55113,2.61
55115,2.15
55117,1.19
55119,1.19
55121,1.01
55123,1.37
55125,3.43
55127,3.43
55129,
55131,3.43
55133,1.82
55135,1.82
55137,3.43
55139,1.01
55141,0.78
56001,1.82
56003,1.37
56005,1.01
56007,1.01
56009,1.82
56011,2.15
56013,1.37
56015,2.15
56017,1.01
56019,
56021,1.82
56023,1.82
56025,1.19
56027,1.19
56029,1.58
56031,1.82
56033,1.58
56035,1.19
56037,0.78
56039,2.61
56041,1.37
56043,1.19
56045,2.15
