Date,"Real house prices Index 2005:Q1",House price to rent ratio,House price to income ratio
2009:Q3,87.76038781,85.47975498,85.74739062
2009:Q4,86.58157784,85.29515656,84.63378187
2010:Q1,85.29062787,84.54902653,82.88046233
2010:Q2,84.1573379,83.55398472,80.62249968
2010:Q3,84.82057788,84.24645499,80.92196697
2010:Q4,83.8326779,83.38459986,79.86661406
2011:Q1,80.89394798,80.80090591,76.40546733
2011:Q2,78.48764804,78.8772424,74.48200521
2011:Q3,78.71767803,78.94898432,74.54404386
2011:Q4,78.96055803,78.76751768,74.70815982
2012:Q1,77.68477806,77.57142048,72.78306407
2012:Q2,76.93574808,76.54220401,71.60738601
2012:Q3,77.74275806,77.07395291,72.98600741
2012:Q4,78.05267805,77.18756141,71.47356522
2013:Q1,78.22715804,77.12265993,74.78963905
2013:Q2,79.15297802,77.55939791,75.29395301
2013:Q3,79.981458,78.12873274,75.95517171
2013:Q4,80.42699799,78.35498879,76.32289922
2014:Q1,80.77863798,78.47356648,75.86082471
2014:Q2,81.70957796,79.07263806,75.91039653
2014:Q3,82.66888793,79.54697955,76.12103169
2014:Q4,83.58051791,79.66601954,76.10620804
2015:Q1,84.92706788,79.91106811,76.65905514
2015:Q2,85.65981786,80.28893641,77.28500393
2015:Q3,86.67735783,80.65391364,77.91348273
2015:Q4,87.62111781,80.71754501,78.50619641
2016:Q1,88.45588779,80.81335225,78.88156082
2016:Q2,89.31078777,81.32306669,79.96144302
2016:Q3,90.56607774,82.01297373,80.90628827
2016:Q4,91.00972772,81.94963116,81.14419291
2017:Q1,91.25411772,81.8652953,80.44261203
2017:Q2,92.78202768,82.74237647,81.14228236
2017:Q3,93.87086765,83.27073027,81.81207051
2017:Q4,94.19146765,83.33909751,81.88044638
2018:Q1,94.97941763,83.83341201,81.89505207
2018:Q2,95.9084776,84.44651322,82.14703201
2018:Q3,96.76232758,84.71449058,82.41456931
2018:Q4,96.87898758,84.41249897,82.12320509
2019:Q1,97.93500755,84.66325785,82.15947194
2019:Q2,98.63253753,84.97103861,83.19091705
2019:Q3,99.61488751,85.264982,83.70020579
2019:Q4,100.2567975,85.48446341,83.92765936
2020:Q1,101.1825975,85.75457803,83.97296326
2020:Q2,102.3212974,85.78944528,77.06017486
2020:Q3,103.1671974,86.85774816,81.44233676
2020:Q4,105.2434974,88.60774881,85.11995189
2021:Q1,106.8469973,90.44710426,77.41893057
2021:Q2,110.7496972,94.70702386,87.56369647
2021:Q3,115.4052971,99.18109812,92.33180285
2021:Q4,117.7436971,101.5044855,95.43386332
2022:Q1,120.107097,103.7998703,99.85820276
2022:Q2,125.7515969,108.749527,104.8411772
