,Annual Change (%),Annual Change (%),Annual Change (%),Annual Change (%),Annual Change (%),Annual Change (%),Annual Change (%),Annual Change (%),Annual Change (%),Annual Change (%),Annual Change (%),Annual Change (%),Annual Change (%),Annual Change (%),Annual Change (%),Annual Change (%),Annual Change (%),Annual Change (%),Annual Change (%),Annual Change (%),Annual Change (%),Annual Change (%),Annual Change (%),Annual Change (%),Annual Change (%),Annual Change (%),Annual Change (%),Annual Change (%),Annual Change (%),Annual Change (%),Annual Change (%),Annual Change (%),Annual Change (%),Annual Change (%),Annual Change (%),Annual Change (%),Annual Change (%),Annual Change (%),Annual Change (%),Annual Change (%),Annual Change (%),Annual Change (%),Annual Change (%),Annual Change (%),Annual Change (%),Annual Change (%),Annual Change (%),HPI Index,HPI Index,HPI Index,HPI Index,HPI Index,HPI Index,HPI Index,HPI Index,HPI Index,HPI Index,HPI Index,HPI Index,HPI Index,HPI Index,HPI Index,HPI Index,HPI Index,HPI Index,HPI Index,HPI Index,HPI Index,HPI Index,HPI Index,HPI Index,HPI Index,HPI Index,HPI Index,HPI Index,HPI Index,HPI Index,HPI Index,HPI Index,HPI Index,HPI Index,HPI Index,HPI Index,HPI Index,HPI Index,HPI Index,HPI Index,HPI Index,HPI Index,HPI Index,HPI Index,HPI Index,HPI Index,HPI Index
Year,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
District of Columbia,.,10.56,12.75,15.52,17.99,7.10,-1.76,-5.81,9.12,6.88,5.40,8.18,11.18,18.23,12.28,3.70,0.32,2.14,-1.49,-0.69,-1.35,2.22,0.08,4.73,7.43,14.48,14.11,12.79,9.47,16.45,22.78,11.55,2.79,-4.94,-5.22,0.10,0.97,3.07,6.78,8.95,5.93,6.54,5.01,4.88,3.76,2.07,6.79,100.0,110.56,124.66,144.02,169.92,181.98,178.77,168.39,183.74,196.39,206.99,223.94,248.98,294.38,330.52,342.73,343.84,351.18,345.94,343.55,338.91,346.44,346.72,363.1,390.1,446.6,509.61,574.8,629.26,732.76,899.69,1003.63,1031.61,980.7,929.55,930.45,939.46,968.32,1033.96,1126.55,1193.4,1271.42,1335.11,1400.25,1452.92,1482.97,1583.64
Florida,.,-1.88,4.35,10.72,12.99,11.87,5.56,-0.09,13.16,2.44,1.18,3.67,2.49,4.30,4.07,1.65,1.48,2.24,1.85,0.95,2.69,2.51,2.94,4.12,3.66,7.72,9.52,9.05,8.23,15.51,24.83,15.70,-2.17,-15.20,-17.69,-9.69,-6.88,-0.96,7.41,10.46,8.77,9.13,8.36,7.87,5.45,5.00,15.19,100.0,98.12,102.39,113.36,128.08,143.29,151.26,151.12,171.01,175.18,177.24,183.74,188.31,196.41,204.42,207.78,210.85,215.57,219.56,221.64,227.6,233.33,240.18,250.06,259.22,279.24,305.84,333.52,360.96,416.94,520.47,602.18,589.14,499.59,411.22,371.38,345.84,342.53,367.9,406.39,442.02,482.38,522.69,563.83,594.59,624.34,719.18
Georgia,.,3.69,3.24,7.59,10.00,10.33,8.60,5.56,2.86,6.21,4.95,5.19,4.40,4.10,2.06,0.26,0.49,1.69,1.81,2.25,3.86,3.92,4.37,4.79,5.45,7.03,6.02,3.62,2.08,4.02,5.29,4.52,2.42,-2.04,-4.98,-8.27,-7.39,-5.00,3.74,7.64,5.69,5.98,5.97,7.34,5.51,3.68,12.45,100.0,103.69,107.05,115.17,126.7,139.79,151.81,160.25,164.84,175.08,183.74,193.27,201.78,210.05,214.39,214.94,216.0,219.64,223.61,228.65,237.49,246.79,257.58,269.93,284.64,304.64,322.97,334.67,341.65,355.37,374.17,391.06,400.53,392.37,372.82,341.98,316.7,300.86,312.1,335.95,355.06,376.29,398.76,428.01,451.59,468.21,526.5
Hawaii,.,-12.86,6.99,11.78,25.88,21.13,-3.67,3.03,7.12,3.42,3.72,3.90,6.73,16.55,23.66,20.88,9.78,0.81,-0.06,-0.22,-1.81,-3.85,-7.73,-0.29,-0.41,3.15,7.36,6.70,9.08,19.72,25.36,14.32,1.99,-3.21,-10.04,-4.11,-1.78,0.83,4.53,7.73,5.48,6.56,3.55,4.48,3.13,-0.17,8.22,100.0,87.14,93.23,104.21,131.19,158.91,153.08,157.71,168.95,174.74,181.23,188.3,200.97,234.23,289.66,350.14,384.38,387.48,387.24,386.38,379.37,364.79,336.58,335.59,334.22,344.76,370.12,394.91,430.77,515.7,646.51,739.11,753.85,729.64,656.36,629.36,618.18,623.32,651.59,701.99,740.45,789.0,816.97,853.59,880.31,878.83,951.04
Idaho,.,7.18,11.73,16.27,9.28,5.14,2.35,1.34,2.78,2.31,1.87,0.94,-0.80,-0.48,4.69,7.07,5.41,5.52,8.56,6.08,6.67,2.51,2.76,2.63,1.94,2.20,4.44,2.62,2.51,6.49,15.08,16.21,5.60,-2.00,-7.35,-10.54,-8.35,0.18,5.09,6.80,5.90,7.09,9.38,11.68,10.65,8.38,20.33,100.0,107.18,119.76,139.25,152.17,159.99,163.76,165.96,170.58,174.52,177.79,179.45,178.01,177.16,185.47,198.57,209.32,220.88,239.79,254.36,271.34,278.15,285.84,293.37,299.05,305.62,319.2,327.56,335.77,357.58,411.5,478.22,504.98,494.88,458.52,410.2,375.95,376.64,395.81,422.74,447.67,479.4,524.36,585.59,647.96,702.27,845.07
Illinois,.,9.86,16.54,17.22,3.25,0.52,3.73,-9.57,11.02,5.32,4.12,5.96,7.72,10.33,7.75,4.67,3.24,2.52,2.73,3.59,4.58,2.94,2.99,2.18,3.56,6.89,5.48,4.90,3.49,7.50,8.99,5.61,1.30,-3.02,-8.24,-6.31,-5.21,-2.77,0.21,3.75,2.88,2.82,2.60,2.33,2.52,0.90,7.67,100.0,109.86,128.03,150.08,154.96,155.76,161.57,146.11,162.21,170.85,177.89,188.49,203.05,224.03,241.4,252.67,260.85,267.42,274.72,284.59,297.63,306.37,315.52,322.39,333.87,356.87,376.43,394.86,408.64,439.31,478.78,505.65,512.21,496.72,455.79,427.01,404.76,393.54,394.38,409.19,420.97,432.84,444.1,454.43,465.87,470.05,506.11
Indiana,.,5.10,11.96,16.16,13.19,5.25,3.83,-4.97,6.34,1.77,3.30,4.58,4.17,5.61,4.62,3.12,3.53,2.93,3.20,3.90,5.41,4.21,4.07,3.42,2.94,3.72,4.20,1.95,1.34,2.35,3.45,1.80,1.11,-0.66,-2.19,-2.45,-1.84,-0.58,1.00,2.39,3.23,3.49,4.49,6.51,5.24,3.78,11.67,100.0,105.1,117.68,136.69,154.72,162.85,169.09,160.68,170.87,173.89,179.62,187.86,195.7,206.69,216.24,223.0,230.88,237.64,245.24,254.8,268.59,279.91,291.31,301.27,310.12,321.66,335.16,341.69,346.29,354.42,366.65,373.23,377.39,374.92,366.71,357.72,351.16,349.11,352.61,361.02,372.67,385.67,402.98,429.2,451.7,468.79,523.49
Iowa,.,13.10,12.00,14.17,9.85,0.86,-2.90,-3.77,6.76,1.14,1.33,1.05,0.74,2.13,5.56,4.80,4.17,3.21,4.91,5.77,6.57,3.85,3.94,4.23,3.88,4.83,4.64,2.79,2.30,4.23,4.74,2.77,1.79,0.42,-0.51,-1.02,-0.58,0.46,1.32,2.36,2.63,3.42,3.82,3.66,3.06,1.61,7.90,100.0,113.1,126.67,144.62,158.86,160.22,155.58,149.71,159.84,161.66,163.82,165.53,166.75,170.31,179.78,188.41,196.28,202.57,212.51,224.78,239.54,248.76,258.57,269.52,279.97,293.49,307.11,315.67,322.92,336.57,352.53,362.3,368.78,370.32,368.42,364.64,362.53,364.18,369.0,377.72,387.66,400.93,416.24,431.49,444.67,451.85,487.54
Kansas,.,7.92,12.00,12.01,10.24,6.82,1.94,2.20,2.82,0.68,0.53,3.14,1.99,0.92,1.41,0.18,0.93,1.90,2.66,5.58,6.44,3.93,4.40,4.08,4.81,5.91,4.75,3.45,1.95,3.95,4.37,3.33,2.18,-0.23,-1.20,-1.13,-1.72,-0.48,0.92,2.80,3.07,3.99,4.40,5.01,3.86,3.74,10.32,100.0,107.92,120.87,135.39,149.26,159.43,162.52,166.1,170.78,171.93,172.84,178.28,181.82,183.5,186.08,186.42,188.17,191.73,196.83,207.81,221.21,229.9,240.0,249.8,261.81,277.29,290.47,300.48,306.33,318.42,332.35,343.42,350.91,350.12,345.92,341.99,336.12,334.49,337.58,347.04,357.7,371.97,388.35,407.79,423.53,439.35,484.71
Kentucky,.,4.04,9.18,15.25,12.32,5.16,2.56,2.14,2.99,2.01,3.20,3.75,4.18,6.13,4.73,2.65,2.77,2.69,3.15,5.28,6.07,3.89,4.33,3.54,4.01,5.01,4.12,2.57,2.39,4.25,5.08,3.26,2.01,0.49,-1.49,-1.36,-1.51,-0.09,0.57,1.72,2.92,3.81,4.75,4.40,3.99,3.44,10.08,100.0,104.04,113.59,130.91,147.04,154.63,158.59,161.98,166.82,170.18,175.62,182.2,189.82,201.46,210.99,216.59,222.59,228.58,235.77,248.21,263.27,273.51,285.35,295.46,307.32,322.7,335.99,344.62,352.86,367.86,386.55,399.14,407.15,409.14,403.03,397.53,391.53,391.18,393.41,400.16,411.86,427.56,447.86,467.59,486.23,502.95,553.66
