Date,GBP,EUR,YENN,BTC
16/03/2021,6.42%,5.81%,5.71%,72.93%
17/03/2021,6.33%,5.80%,5.77%,73.31%
18/03/2021,6.55%,6.31%,5.53%,71.51%
19/03/2021,6.66%,6.45%,5.40%,71.34%
22/03/2021,6.55%,6.31%,5.31%,70.56%
23/03/2021,6.37%,6.43%,5.28%,69.76%
24/03/2021,6.95%,6.69%,4.94%,60.17%
25/03/2021,6.77%,6.70%,4.93%,60.50%
26/03/2021,6.97%,6.63%,4.69%,60.61%
29/03/2021,6.38%,6.69%,4.82%,61.40%
30/03/2021,6.35%,6.50%,4.83%,57.80%
31/03/2021,6.31%,6.54%,4.89%,56.59%
01/04/2021,6.37%,6.39%,4.89%,55.22%
02/04/2021,6.50%,6.67%,4.98%,52.50%
05/04/2021,6.46%,6.33%,4.32%,52.75%
06/04/2021,6.72%,6.48%,4.58%,49.09%
07/04/2021,7.01%,6.35%,4.58%,48.60%
08/04/2021,7.12%,6.20%,4.37%,49.97%
09/04/2021,7.00%,6.27%,4.71%,48.80%
12/04/2021,6.78%,6.00%,4.81%,49.60%
13/04/2021,6.80%,5.94%,4.64%,52.21%
14/04/2021,6.78%,6.02%,4.86%,52.25%
15/04/2021,6.81%,6.03%,4.85%,51.04%
16/04/2021,6.50%,5.57%,4.88%,51.71%
19/04/2021,6.49%,5.22%,4.88%,62.69%
20/04/2021,7.49%,5.49%,5.25%,58.15%
21/04/2021,7.62%,5.36%,5.25%,60.48%
22/04/2021,6.74%,4.46%,5.20%,60.80%
23/04/2021,7.09%,4.43%,5.11%,60.55%
26/04/2021,6.97%,4.57%,4.91%,59.45%
27/04/2021,6.94%,4.62%,4.57%,57.42%
28/04/2021,6.91%,4.52%,4.98%,56.84%
29/04/2021,6.95%,4.16%,4.70%,57.24%
30/04/2021,6.91%,4.22%,4.66%,63.59%
03/05/2021,7.65%,5.30%,4.88%,63.61%
04/05/2021,7.94%,5.28%,4.88%,67.87%
05/05/2021,7.67%,5.42%,4.79%,72.99%
06/05/2021,7.38%,5.25%,4.65%,72.06%
07/05/2021,7.00%,5.47%,4.66%,70.91%
10/05/2021,7.74%,6.02%,4.62%,71.46%
11/05/2021,7.89%,6.09%,4.54%,70.92%
12/05/2021,7.87%,6.10%,4.46%,82.45%
13/05/2021,8.19%,6.41%,5.22%,82.83%
14/05/2021,8.22%,6.36%,5.24%,82.83%
17/05/2021,8.27%,6.63%,5.21%,93.35%
18/05/2021,8.29%,6.62%,5.25%,88.30%
19/05/2021,7.21%,6.54%,4.97%,99.38%
20/05/2021,7.38%,6.73%,5.11%,106.78%
21/05/2021,7.57%,6.86%,5.30%,109.63%
24/05/2021,7.22%,6.95%,5.29%,111.13%
25/05/2021,7.21%,6.69%,5.28%,108.30%
26/05/2021,7.23%,6.73%,5.20%,108.49%
27/05/2021,7.29%,6.97%,5.04%,108.42%
28/05/2021,7.46%,6.86%,5.31%,110.20%
31/05/2021,7.50%,6.86%,5.20%,107.35%
01/06/2021,6.53%,6.20%,5.27%,107.28%
02/06/2021,6.64%,6.20%,5.22%,106.83%
03/06/2021,6.60%,6.00%,5.18%,104.00%
04/06/2021,6.85%,6.48%,5.56%,105.04%
07/06/2021,6.91%,6.33%,5.95%,107.17%
08/06/2021,6.03%,5.65%,5.84%,107.46%
09/06/2021,5.67%,5.62%,5.81%,116.43%
10/06/2021,5.75%,5.62%,5.79%,107.49%
11/06/2021,5.60%,5.25%,4.98%,107.67%
14/06/2021,5.75%,5.59%,5.06%,111.82%
15/06/2021,5.62%,5.18%,5.14%,102.08%
16/06/2021,5.53%,5.18%,5.10%,103.42%
17/06/2021,5.82%,5.99%,5.28%,89.50%
18/06/2021,5.63%,6.24%,5.43%,84.83%
21/06/2021,5.84%,5.97%,5.24%,89.51%
22/06/2021,6.58%,6.13%,5.25%,88.90%
23/06/2021,6.61%,6.09%,5.27%,90.26%
24/06/2021,6.65%,5.94%,5.32%,90.46%
25/06/2021,6.72%,5.81%,5.28%,95.07%
28/06/2021,6.24%,5.85%,4.97%,97.33%
29/06/2021,6.23%,5.84%,5.03%,97.10%
30/06/2021,6.05%,5.61%,4.82%,97.24%
01/07/2021,5.91%,5.68%,5.10%,97.73%
02/07/2021,6.01%,5.67%,5.23%,96.35%
05/07/2021,6.32%,5.44%,5.12%,94.33%
06/07/2021,6.16%,5.28%,4.67%,88.54%
07/07/2021,6.18%,5.19%,4.64%,88.64%
08/07/2021,6.18%,5.20%,4.62%,79.74%
09/07/2021,6.16%,5.57%,5.39%,80.45%
12/07/2021,6.68%,5.70%,5.48%,80.24%
13/07/2021,6.61%,5.51%,5.42%,74.78%
14/07/2021,6.83%,5.92%,5.39%,74.76%
15/07/2021,7.02%,6.28%,5.75%,73.64%
16/07/2021,6.73%,5.21%,5.30%,73.64%
19/07/2021,6.80%,4.71%,5.15%,71.29%
20/07/2021,6.54%,4.61%,5.24%,58.80%
21/07/2021,5.83%,4.42%,5.37%,63.98%
22/07/2021,6.24%,4.35%,5.41%,62.59%
23/07/2021,6.46%,4.37%,5.27%,63.36%
26/07/2021,6.37%,4.37%,5.45%,64.98%
27/07/2021,6.66%,4.51%,5.49%,61.16%
28/07/2021,6.79%,4.55%,5.66%,59.97%
29/07/2021,6.75%,4.57%,5.67%,59.10%
30/07/2021,6.86%,4.59%,5.46%,58.49%
02/08/2021,6.85%,4.65%,5.33%,65.57%
03/08/2021,6.63%,4.65%,5.33%,66.53%
04/08/2021,6.63%,4.65%,5.35%,67.58%
05/08/2021,6.53%,4.60%,5.65%,67.60%
06/08/2021,6.58%,4.49%,5.72%,67.30%
09/08/2021,6.77%,4.89%,5.33%,71.07%
10/08/2021,6.20%,4.80%,5.17%,70.94%
11/08/2021,6.20%,4.81%,5.24%,70.38%
12/08/2021,5.89%,4.12%,5.22%,71.76%
13/08/2021,5.91%,3.69%,4.83%,72.39%
16/08/2021,6.02%,4.09%,5.41%,74.40%
17/08/2021,5.79%,4.11%,5.49%,75.07%
18/08/2021,5.88%,4.55%,5.45%,73.00%
19/08/2021,5.79%,4.55%,5.40%,70.74%
20/08/2021,6.15%,4.58%,5.28%,71.72%
23/08/2021,5.91%,4.63%,5.28%,71.60%
24/08/2021,6.49%,4.86%,5.11%,66.62%
25/08/2021,6.20%,4.75%,5.08%,65.07%
26/08/2021,6.13%,4.77%,4.90%,67.52%
27/08/2021,6.25%,4.73%,4.90%,68.61%
30/08/2021,6.28%,4.69%,4.67%,68.82%
31/08/2021,6.09%,4.64%,4.58%,62.47%
01/09/2021,6.09%,4.66%,4.34%,61.67%
02/09/2021,6.07%,4.76%,4.21%,60.75%
03/09/2021,6.31%,4.78%,3.93%,60.43%
06/09/2021,6.26%,4.78%,3.92%,60.78%
07/09/2021,6.10%,3.96%,3.55%,69.87%
08/09/2021,6.26%,4.08%,3.88%,69.83%
09/09/2021,6.26%,4.13%,3.76%,69.86%
10/09/2021,6.49%,4.11%,3.94%,70.24%
13/09/2021,6.34%,4.13%,3.97%,65.12%
14/09/2021,6.19%,3.77%,3.09%,65.93%
15/09/2021,6.21%,3.75%,3.04%,65.39%
16/09/2021,5.68%,3.04%,3.14%,65.52%
17/09/2021,5.86%,3.47%,3.15%,64.12%
20/09/2021,5.34%,3.57%,3.26%,69.52%
21/09/2021,5.64%,3.52%,3.68%,71.08%
22/09/2021,5.00%,3.23%,3.75%,75.13%
23/09/2021,5.09%,3.37%,4.35%,75.34%
24/09/2021,5.71%,3.69%,4.57%,75.66%
27/09/2021,5.64%,3.69%,4.76%,73.62%
28/09/2021,5.47%,3.49%,4.73%,72.99%
29/09/2021,6.77%,3.49%,4.99%,73.24%
30/09/2021,7.29%,4.16%,5.09%,74.68%
01/10/2021,7.40%,4.00%,5.39%,82.17%
04/10/2021,7.72%,3.98%,5.65%,82.35%
05/10/2021,7.78%,3.99%,5.60%,82.11%
06/10/2021,7.82%,4.00%,5.78%,74.15%
07/10/2021,7.74%,4.05%,5.64%,74.80%
08/10/2021,7.80%,4.07%,5.66%,74.82%
11/10/2021,7.51%,4.07%,5.63%,75.71%
12/10/2021,7.52%,4.07%,6.41%,76.74%
13/10/2021,7.51%,4.06%,6.41%,75.82%
14/10/2021,7.94%,4.69%,6.36%,75.74%
15/10/2021,7.85%,4.63%,6.22%,78.58%
18/10/2021,8.16%,4.47%,6.27%,78.16%
19/10/2021,8.00%,4.43%,6.32%,67.14%
20/10/2021,7.91%,4.48%,5.83%,62.02%
21/10/2021,7.93%,4.56%,5.71%,65.86%
22/10/2021,7.90%,4.52%,6.01%,67.21%
25/10/2021,7.50%,4.23%,6.02%,63.81%
26/10/2021,7.36%,4.27%,5.95%,66.44%
27/10/2021,7.32%,4.23%,6.01%,66.69%
28/10/2021,6.00%,4.23%,6.08%,66.99%
29/10/2021,5.14%,4.21%,6.05%,65.92%
01/11/2021,6.11%,5.69%,5.98%,60.66%
02/11/2021,5.67%,5.75%,5.68%,61.18%
03/11/2021,5.69%,5.77%,5.73%,59.99%
04/11/2021,6.00%,5.84%,5.60%,56.54%
05/11/2021,7.66%,6.00%,5.67%,55.37%
08/11/2021,7.62%,6.01%,5.83%,64.22%
09/11/2021,7.89%,6.05%,5.65%,61.60%
10/11/2021,7.86%,6.03%,4.59%,61.92%
11/11/2021,8.71%,6.88%,5.53%,61.66%
12/11/2021,8.35%,6.60%,5.49%,61.94%
15/11/2021,8.51%,6.60%,5.25%,57.15%
16/11/2021,8.05%,6.90%,5.05%,60.34%
17/11/2021,8.09%,6.92%,5.57%,58.87%
18/11/2021,8.16%,6.86%,5.95%,60.83%
19/11/2021,8.10%,7.03%,5.94%,58.45%
22/11/2021,8.20%,7.43%,5.72%,58.84%
23/11/2021,8.21%,7.38%,5.99%,57.70%
24/11/2021,8.19%,7.40%,6.06%,56.36%
25/11/2021,8.20%,7.44%,5.98%,55.82%
26/11/2021,8.20%,7.46%,5.93%,58.55%
29/11/2021,7.97%,7.49%,7.30%,64.27%
30/11/2021,7.57%,6.70%,7.03%,64.11%
01/12/2021,7.56%,6.66%,7.18%,62.60%
02/12/2021,7.54%,6.66%,7.27%,62.67%
03/12/2021,7.19%,6.48%,7.28%,64.47%
06/12/2021,5.79%,6.33%,7.26%,66.88%
07/12/2021,5.88%,6.28%,7.31%,54.12%
08/12/2021,5.43%,6.18%,7.27%,54.20%
09/12/2021,5.45%,6.67%,7.20%,56.09%
10/12/2021,4.21%,6.08%,6.54%,55.90%
13/12/2021,4.22%,6.08%,6.53%,55.91%
14/12/2021,4.05%,6.11%,6.54%,56.05%
15/12/2021,4.11%,5.75%,6.54%,58.04%
16/12/2021,4.20%,5.69%,6.19%,58.07%
17/12/2021,4.13%,5.85%,5.98%,56.01%
20/12/2021,4.68%,6.28%,5.98%,55.64%
21/12/2021,4.47%,5.74%,5.99%,57.96%
22/12/2021,4.77%,5.64%,5.72%,56.98%
23/12/2021,5.27%,5.76%,5.61%,59.39%
24/12/2021,5.31%,5.57%,5.66%,58.87%
27/12/2021,5.29%,5.58%,5.59%,54.51%
28/12/2021,5.33%,4.98%,3.93%,50.20%
29/12/2021,5.28%,5.01%,3.93%,50.45%
30/12/2021,5.45%,5.07%,3.52%,51.01%
31/12/2021,5.41%,5.18%,3.14%,51.10%
03/01/2022,5.42%,5.36%,3.14%,48.80%
04/01/2022,5.21%,5.83%,3.14%,45.20%
05/01/2022,5.28%,5.83%,3.73%,47.99%
06/01/2022,5.22%,5.89%,3.77%,47.98%
07/01/2022,5.13%,5.50%,3.94%,45.80%
10/01/2022,5.25%,5.54%,3.94%,46.00%
11/01/2022,5.28%,5.57%,4.16%,46.92%
12/01/2022,5.10%,5.60%,4.16%,48.24%
13/01/2022,5.30%,5.92%,4.71%,45.49%
14/01/2022,5.31%,5.88%,4.91%,45.37%
17/01/2022,5.42%,5.99%,4.70%,44.70%
18/01/2022,4.65%,5.17%,4.71%,44.27%
19/01/2022,4.87%,5.75%,4.71%,40.81%
20/01/2022,4.74%,5.76%,4.67%,41.29%
21/01/2022,4.42%,5.70%,4.78%,50.13%
24/01/2022,4.46%,5.76%,4.69%,50.35%
25/01/2022,4.84%,5.79%,4.75%,50.86%
26/01/2022,4.77%,5.82%,4.51%,48.01%
27/01/2022,4.91%,6.09%,5.26%,48.27%
28/01/2022,5.02%,6.52%,5.57%,48.38%
31/01/2022,5.05%,6.49%,5.57%,49.29%
01/02/2022,5.14%,6.80%,5.59%,49.41%
02/02/2022,5.47%,6.64%,5.67%,51.19%
03/02/2022,5.42%,6.67%,5.03%,49.12%
04/02/2022,5.45%,7.81%,5.41%,63.93%
07/02/2022,5.69%,7.78%,5.46%,65.40%
08/02/2022,5.47%,7.63%,5.43%,65.40%
09/02/2022,5.47%,7.63%,5.53%,65.04%
10/02/2022,5.28%,7.56%,5.53%,64.64%
11/02/2022,4.87%,7.20%,5.25%,64.39%
14/02/2022,4.90%,7.33%,5.14%,64.26%
15/02/2022,4.89%,7.41%,5.14%,65.77%
16/02/2022,4.88%,7.60%,5.10%,66.01%
17/02/2022,4.89%,7.19%,5.17%,71.84%
18/02/2022,4.96%,7.19%,5.40%,71.42%
21/02/2022,5.00%,7.30%,5.26%,65.79%
22/02/2022,4.87%,7.25%,5.35%,66.67%
23/02/2022,4.52%,7.26%,5.49%,67.33%
24/02/2022,4.66%,7.27%,5.51%,67.96%
25/02/2022,6.40%,7.88%,5.28%,68.32%
28/02/2022,6.06%,7.28%,4.94%,75.61%
01/03/2022,6.19%,7.35%,5.18%,75.83%
02/03/2022,6.49%,7.40%,5.21%,76.05%
03/03/2022,6.34%,7.24%,5.48%,75.01%
04/03/2022,6.30%,7.25%,5.34%,80.96%
07/03/2022,7.01%,7.79%,5.34%,71.29%
08/03/2022,7.25%,7.67%,5.43%,68.52%
09/03/2022,7.22%,7.89%,5.50%,74.72%
10/03/2022,7.72%,10.13%,5.35%,77.49%
11/03/2022,7.91%,10.20%,5.40%,77.47%
14/03/2022,7.88%,10.38%,6.58%,77.63%
15/03/2022,7.81%,10.40%,6.60%,77.60%
16/03/2022,7.97%,10.42%,6.58%,77.54%
17/03/2022,8.52%,10.44%,6.70%,77.45%
18/03/2022,8.42%,10.80%,6.78%,72.45%
21/03/2022,8.32%,10.88%,6.68%,72.58%
22/03/2022,8.35%,10.84%,6.68%,67.40%
23/03/2022,8.90%,10.87%,7.72%,66.80%
24/03/2022,8.97%,10.82%,7.85%,66.08%
25/03/2022,8.94%,10.83%,8.12%,65.70%
28/03/2022,7.90%,10.35%,8.14%,68.13%
29/03/2022,8.07%,10.37%,8.61%,60.17%
30/03/2022,7.89%,10.82%,8.60%,59.78%
31/03/2022,7.79%,10.76%,9.43%,60.92%
01/04/2022,7.56%,11.12%,9.52%,59.68%
04/04/2022,7.56%,11.05%,9.58%,50.96%
05/04/2022,6.73%,9.39%,9.21%,50.56%
06/04/2022,6.27%,9.68%,9.30%,54.70%
07/04/2022,6.26%,9.63%,9.35%,47.40%
08/04/2022,5.77%,7.71%,9.33%,42.82%
11/04/2022,5.45%,7.58%,9.33%,49.02%
12/04/2022,5.27%,7.16%,9.06%,48.70%
13/04/2022,5.20%,7.31%,9.08%,49.33%
14/04/2022,6.02%,7.65%,9.11%,47.99%
15/04/2022,5.62%,7.74%,9.17%,48.32%
18/04/2022,5.58%,7.19%,8.90%,47.80%
19/04/2022,5.70%,7.09%,8.82%,47.78%
20/04/2022,5.69%,7.12%,10.13%,46.50%
21/04/2022,5.21%,7.40%,10.44%,46.70%
22/04/2022,5.11%,7.38%,10.32%,45.95%
25/04/2022,7.16%,7.39%,9.99%,46.39%
26/04/2022,7.43%,7.90%,10.43%,43.76%
27/04/2022,8.21%,8.07%,10.05%,45.47%
28/04/2022,8.22%,7.45%,10.14%,46.14%
29/04/2022,8.08%,6.79%,10.86%,45.93%
02/05/2022,8.93%,6.81%,11.20%,45.16%
03/05/2022,9.03%,6.81%,11.13%,44.94%
04/05/2022,9.00%,6.79%,11.17%,49.24%
05/05/2022,9.86%,7.56%,11.54%,53.52%
06/05/2022,11.76%,7.89%,11.73%,53.29%
09/05/2022,11.73%,7.88%,11.74%,77.98%
10/05/2022,11.80%,7.96%,11.88%,76.75%
11/05/2022,11.78%,7.98%,11.67%,78.63%
12/05/2022,11.83%,7.89%,11.82%,77.55%
13/05/2022,11.02%,8.27%,12.44%,77.84%
16/05/2022,11.34%,8.22%,12.45%,78.06%
17/05/2022,11.69%,8.44%,12.54%,78.58%
18/05/2022,12.87%,9.39%,12.55%,79.15%
19/05/2022,13.23%,9.58%,11.77%,82.85%
20/05/2022,13.67%,10.15%,11.23%,83.20%
23/05/2022,13.80%,10.15%,11.18%,83.29%
24/05/2022,13.13%,10.92%,11.16%,83.34%
25/05/2022,12.95%,10.64%,11.30%,81.80%
26/05/2022,12.31%,10.50%,11.29%,80.43%
27/05/2022,12.27%,10.12%,10.82%,79.84%
30/05/2022,12.04%,9.92%,8.36%,89.51%
31/05/2022,11.67%,9.94%,8.35%,89.57%
01/06/2022,11.52%,10.00%,8.82%,91.56%
02/06/2022,12.07%,10.42%,9.64%,89.68%
03/06/2022,11.92%,10.43%,9.33%,86.24%
06/06/2022,9.77%,10.04%,9.09%,89.05%
07/06/2022,9.70%,10.13%,9.82%,65.19%
08/06/2022,9.82%,10.09%,9.86%,65.56%
09/06/2022,9.89%,10.00%,10.55%,60.69%
10/06/2022,9.71%,10.56%,10.38%,61.99%
13/06/2022,11.62%,10.49%,9.54%,108.41%
14/06/2022,12.12%,10.80%,9.67%,107.78%
15/06/2022,12.44%,10.75%,9.66%,107.69%
16/06/2022,12.52%,10.09%,10.36%,111.00%
17/06/2022,13.12%,10.25%,10.49%,108.34%
20/06/2022,13.12%,9.77%,12.46%,108.44%
21/06/2022,13.07%,9.83%,12.52%,108.62%
22/06/2022,12.92%,9.04%,12.64%,108.04%
23/06/2022,12.91%,8.90%,12.07%,110.82%
24/06/2022,12.83%,8.88%,12.78%,111.09%
27/06/2022,12.80%,8.88%,12.72%,111.10%
28/06/2022,12.78%,8.91%,12.72%,102.46%
29/06/2022,12.85%,8.89%,12.72%,102.22%
30/06/2022,12.88%,9.11%,12.63%,101.02%
01/07/2022,12.60%,8.94%,12.63%,99.89%
04/07/2022,12.23%,8.25%,12.84%,102.81%
05/07/2022,12.12%,8.25%,12.84%,99.58%
06/07/2022,12.74%,9.87%,12.44%,100.37%
07/07/2022,12.46%,9.96%,12.39%,103.26%
08/07/2022,13.05%,9.86%,11.76%,103.41%
11/07/2022,13.04%,9.57%,11.79%,105.98%
12/07/2022,12.08%,9.50%,12.03%,61.17%
13/07/2022,11.62%,9.32%,12.06%,63.73%
14/07/2022,11.05%,9.22%,11.97%,63.78%
15/07/2022,9.81%,9.14%,11.81%,53.14%
18/07/2022,8.18%,8.92%,10.87%,59.18%
19/07/2022,7.90%,9.15%,8.34%,60.41%
20/07/2022,8.08%,9.69%,8.31%,60.57%
21/07/2022,8.06%,9.71%,7.83%,58.81%
22/07/2022,8.14%,9.76%,8.56%,56.96%
25/07/2022,8.11%,9.72%,8.21%,61.21%
26/07/2022,8.39%,9.60%,8.20%,60.64%
27/07/2022,8.39%,9.90%,8.25%,65.32%
28/07/2022,9.01%,10.39%,8.44%,66.07%
29/07/2022,8.85%,10.16%,9.38%,65.60%
01/08/2022,8.82%,10.10%,9.49%,65.25%
02/08/2022,8.96%,10.28%,10.41%,64.07%
03/08/2022,9.57%,10.79%,11.38%,64.15%
04/08/2022,8.15%,9.16%,11.51%,64.21%
05/08/2022,8.08%,9.38%,11.87%,62.56%
08/08/2022,8.14%,9.75%,13.64%,62.89%
09/08/2022,8.16%,9.79%,13.60%,55.40%
10/08/2022,7.34%,8.79%,13.30%,54.11%
11/08/2022,8.15%,9.20%,14.47%,52.69%
12/08/2022,8.16%,9.19%,14.22%,52.71%
15/08/2022,8.43%,9.50%,13.70%,53.08%
16/08/2022,8.69%,9.88%,13.66%,46.99%
17/08/2022,8.61%,9.75%,14.12%,45.85%
18/08/2022,8.65%,9.27%,14.29%,45.83%
19/08/2022,9.22%,9.63%,14.49%,58.74%
22/08/2022,9.74%,9.66%,14.55%,59.35%
23/08/2022,9.82%,10.11%,14.44%,55.43%
24/08/2022,9.82%,10.13%,14.61%,55.44%
25/08/2022,9.86%,9.69%,14.57%,48.21%
26/08/2022,9.06%,9.19%,14.46%,50.12%
29/08/2022,9.62%,9.21%,13.85%,50.19%
30/08/2022,9.72%,9.66%,13.68%,50.35%
31/08/2022,9.23%,9.44%,12.45%,50.77%
01/09/2022,8.97%,8.85%,11.79%,50.90%
02/09/2022,8.98%,9.28%,11.83%,50.89%
05/09/2022,8.96%,8.62%,10.97%,49.30%
06/09/2022,9.46%,8.57%,9.46%,50.18%
07/09/2022,9.38%,8.59%,11.10%,51.20%
08/09/2022,9.43%,9.41%,11.18%,49.08%
09/09/2022,8.08%,8.74%,8.54%,62.35%
12/09/2022,8.97%,9.05%,9.56%,64.31%
13/09/2022,9.33%,9.18%,9.63%,71.96%
14/09/2022,10.45%,9.98%,10.03%,71.98%
15/09/2022,10.45%,9.97%,11.00%,72.09%
16/09/2022,10.62%,9.96%,10.98%,72.20%
19/09/2022,10.31%,9.62%,11.17%,62.78%
20/09/2022,9.97%,9.44%,10.90%,62.80%
21/09/2022,10.02%,9.05%,10.89%,62.78%
22/09/2022,10.16%,10.25%,10.53%,65.39%
23/09/2022,10.21%,10.27%,12.03%,65.19%
26/09/2022,17.09%,11.48%,12.08%,61.59%
27/09/2022,16.93%,11.62%,12.06%,61.58%
28/09/2022,16.77%,11.15%,11.89%,61.37%
29/09/2022,17.48%,12.07%,11.97%,61.26%
30/09/2022,21.01%,12.98%,11.96%,61.26%
03/10/2022,20.99%,12.72%,11.88%,61.34%
04/10/2022,21.90%,12.76%,11.94%,62.56%
05/10/2022,22.03%,13.80%,12.13%,59.82%
06/10/2022,22.15%,13.92%,10.31%,59.51%
07/10/2022,22.87%,14.08%,10.14%,60.01%
10/10/2022,22.97%,14.13%,10.15%,47.98%
11/10/2022,22.68%,13.88%,9.57%,44.34%
12/10/2022,22.62%,13.62%,9.56%,30.20%
13/10/2022,22.72%,12.85%,8.78%,30.61%
14/10/2022,23.65%,12.99%,7.85%,29.41%
17/10/2022,23.57%,12.98%,8.27%,30.20%
18/10/2022,23.85%,13.57%,7.98%,30.17%
19/10/2022,23.84%,13.59%,7.97%,27.88%
20/10/2022,24.11%,13.85%,8.01%,27.10%
21/10/2022,23.82%,13.00%,7.94%,21.91%
24/10/2022,24.13%,13.33%,8.36%,22.06%
25/10/2022,18.58%,12.08%,8.22%,25.60%
26/10/2022,18.91%,11.95%,8.46%,27.54%
27/10/2022,19.18%,12.42%,9.69%,28.73%
28/10/2022,19.35%,12.95%,9.65%,29.03%
31/10/2022,16.63%,12.32%,10.23%,28.94%
01/11/2022,17.16%,12.50%,10.37%,28.83%
02/11/2022,16.17%,12.44%,10.58%,26.72%
03/11/2022,16.12%,11.34%,10.36%,26.56%
04/11/2022,17.16%,11.29%,10.32%,30.51%
07/11/2022,16.83%,12.26%,11.03%,31.09%
08/11/2022,17.34%,12.37%,11.02%,48.19%
09/11/2022,17.33%,12.39%,11.49%,71.76%
10/11/2022,17.99%,12.66%,11.69%,81.32%
11/11/2022,19.93%,13.75%,15.71%,81.65%
14/11/2022,19.30%,14.25%,16.28%,81.90%
15/11/2022,19.25%,14.24%,15.92%,81.79%
16/11/2022,19.30%,13.94%,15.91%,81.80%
17/11/2022,19.27%,13.94%,15.95%,81.84%
18/11/2022,18.76%,13.37%,16.22%,81.88%
21/11/2022,18.75%,13.51%,16.11%,83.50%
22/11/2022,18.69%,13.85%,16.38%,84.14%
23/11/2022,18.63%,13.94%,16.11%,83.38%
24/11/2022,18.74%,14.08%,16.51%,82.05%
25/11/2022,18.16%,13.56%,16.15%,81.93%
28/11/2022,18.09%,12.77%,16.25%,81.47%
29/11/2022,18.40%,12.80%,15.56%,81.92%
30/11/2022,17.86%,12.48%,15.25%,83.95%
01/12/2022,18.13%,12.71%,15.41%,83.92%
02/12/2022,18.11%,12.50%,15.96%,84.01%
05/12/2022,16.18%,11.99%,15.71%,81.75%
06/12/2022,16.39%,11.08%,17.11%,81.75%
07/12/2022,15.94%,10.98%,17.19%,73.91%
08/12/2022,16.00%,10.90%,17.06%,50.19%
09/12/2022,14.49%,10.52%,16.82%,35.32%
12/12/2022,11.33%,9.27%,13.45%,33.54%
13/12/2022,11.07%,8.23%,12.70%,34.02%
14/12/2022,10.99%,8.55%,13.38%,33.70%
15/12/2022,10.61%,8.59%,13.16%,34.72%
16/12/2022,12.82%,8.70%,14.66%,37.94%
19/12/2022,12.72%,8.86%,14.53%,38.18%
20/12/2022,12.72%,8.75%,14.58%,33.67%
21/12/2022,12.55%,8.03%,18.51%,32.81%
22/12/2022,13.59%,8.01%,18.63%,31.77%
