,Country,Medal,Total
204,Qatar,Gold,0
205,Qatar,Silver,1
206,Qatar,Bronze,1
207,Botswana,Gold,0
208,Botswana,Silver,1
209,Botswana,Bronze,0
210,Cyprus,Gold,0
211,Cyprus,Silver,1
212,Cyprus,Bronze,0
213,Gabon,Gold,0
214,Gabon,Silver,1
215,Gabon,Bronze,0
216,Guatemala,Gold,0
217,Guatemala,Silver,1
218,Guatemala,Bronze,0
219,Montenegro,Gold,0
220,Montenegro,Silver,1
221,Montenegro,Bronze,0
222,Portugal,Gold,0
223,Portugal,Silver,1
224,Portugal,Bronze,0
225,Uzbekistan,Gold,0
226,Uzbekistan,Silver,0
227,Uzbekistan,Bronze,3
228,Greece,Gold,0
229,Greece,Silver,0
230,Greece,Bronze,2
231,Singapore,Gold,0
232,Singapore,Silver,0
233,Singapore,Bronze,2
234,Afghanistan,Gold,0
235,Afghanistan,Silver,0
236,Afghanistan,Bronze,1
237,Cameroon,Gold,0
238,Cameroon,Silver,0
239,Cameroon,Bronze,1
240,Hong Kong,Gold,0
241,Hong Kong,Silver,0
242,Hong Kong,Bronze,1
243,Kuwait,Gold,0
244,Kuwait,Silver,0
245,Kuwait,Bronze,1
246,Morocco,Gold,0
247,Morocco,Silver,0
248,Morocco,Bronze,1
249,Saudi Arabia,Gold,0
250,Saudi Arabia,Silver,0
251,Saudi Arabia,Bronze,1
252,Tajikistan,Gold,0
253,Tajikistan,Silver,0
254,Tajikistan,Bronze,1
255,Vietnam,Gold,0
256,Vietnam,Silver,0
257,Vietnam,Bronze,1
258,Totals (86 entries),Gold,302
259,Totals (86 entries),Silver,305
260,Totals (86 entries),Bronze,353
